Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status
Software licensing & subscriptions,SOFTWARE_RESALE,2089,668,9,25,74.0,33.93968405935854,0.15,0.98,0.98,0.72,0.88,0.72,1379,169,66.01244614648157,95.45454545454545,86.36363636363636,95.45454545454545,22.727272727272727,81.81818181818183,79.97272727272728,89.27636363636364,56.68772727272727,85.22854545454547,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
SaaS business applications,SAAS_SOFTWARE,1704,729,9,39,74.0,33.744131455399064,0.72,0.84,0.98,0.62,0.68,0.9,820,76,48.12206572769953,90.9090909090909,95.45454545454545,77.27272727272727,18.181818181818183,81.81818181818183,78.0909090909091,82.57636363636364,78.64090909090909,79.91818181818182,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Cybersecurity / SOC / managed security,CYBER_PARTNERABLE,2594,839,9,56,20.0,35.659213569776405,0.65,0.86,0.95,0.38,0.5,0.92,1518,92,58.519660755589825,100.0,100.0,90.9090909090909,40.909090909090914,4.545454545454546,75.38181818181819,80.02818181818182,74.1718181818182,77.34036363636363,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Microsoft licensing & cloud resale,SOFTWARE_RESALE,1512,652,9,51,60.0,36.044973544973544,0.12,0.99,0.99,0.55,0.88,0.7,626,65,41.402116402116405,86.36363636363636,81.81818181818183,63.63636363636363,50.0,27.27272727272727,65.77272727272727,79.49090909090908,49.24772727272727,77.74454545454545,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Audio-visual systems & conferencing,AV_RESALE,909,221,9,26,20.0,39.603960396039604,0.32,0.98,0.58,0.72,0.72,0.82,671,13,73.81738173817382,68.18181818181817,45.45454545454545,100.0,68.18181818181817,4.545454545454546,62.29090909090909,68.37636363636364,49.53090909090909,78.80218181818182,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Video surveillance / CCTV,SECURITY_RESALE,1165,726,9,34,20.0,40.51502145922747,0.28,0.97,0.45,0.62,0.62,0.82,382,62,32.78969957081545,72.72727272727273,90.9090909090909,40.909090909090914,72.72727272727273,4.545454545454546,60.336363636363636,63.908181818181816,45.101363636363644,76.60127272727273,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Network / WAN / wireless infrastructure,NETWORK_RESALE,1316,618,9,50,20.0,32.75075987841946,0.2,0.96,0.65,0.58,0.64,0.78,638,61,48.48024316109422,81.81818181818183,77.27272727272727,81.81818181818183,9.090909090909092,4.545454545454546,59.57272727272728,71.84636363636363,44.55772727272728,75.10054545454545,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
ERP / SAP implementation & support,ENTERPRISE_SOFTWARE,870,383,9,48,60.0,35.63218390804598,0.55,0.82,0.92,0.35,0.48,0.92,386,40,44.367816091954026,63.63636363636363,63.63636363636363,72.72727272727273,36.36363636363637,27.27272727272727,59.290909090909096,61.85909090909091,62.480909090909094,68.76218181818182,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Data platform / warehouse / BI,DATA_SOFTWARE,404,181,9,34,60.0,41.089108910891085,0.88,0.82,0.98,0.58,0.68,0.92,198,20,49.00990099009901,40.909090909090914,22.727272727272727,86.36363636363636,77.27272727272727,27.27272727272727,54.518181818181816,59.44181818181818,74.43318181818182,69.05763636363636,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Technical studies / feasibility studies,PARTNERABLE_STUDIES,494,355,9,23,70.0,41.093117408906885,0.48,0.96,0.72,0.4,0.55,0.84,100,25,20.242914979757085,45.45454545454545,59.09090909090909,13.636363636363635,81.81818181818183,68.18181818181817,53.53636363636364,47.986363636363635,54.09136363636364,71.36527272727274,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
