Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status,Award_Count,Tender_Award_Linkage_Pct,Award_Value_Coverage_Pct,Bidder_Count_Coverage_Pct,Median_Bidder_Count,Single_Bid_Share_Pct,Competition_Opportunity_Score,Known_Value_Awards,Currency_Cohorts,Relative_Value_Score,Observed_Suppliers,Top_Supplier_Share_Pct,Supplier_HHI,Supplier_Fragmentation_Score,Award_Evidence_Score,Enriched_Opportunity_Score,Easy_Money_Enriched_Score,Expected_Profit_Proxy,AI_Leverage_Enriched_Score,Middleman_Enriched_Score,Enrichment_Contract,Enriched_Status
SaaS business applications,SAAS_SOFTWARE,1704,729,9,39,74.0,33.744131455399064,0.72,0.84,0.98,0.62,0.68,0.9,820,76,48.12206572769953,90.9090909090909,95.45454545454545,77.27272727272727,18.181818181818183,81.81818181818183,78.0909090909091,82.57636363636364,78.64090909090909,79.91818181818182,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,1148,53.69718309859155,77.17770034843205,59.66898954703833,1.0,62.18978102189781,88.65693430656934,881,8,81.05956915541732,500,9.186829179552483,0.015054534351828124,94.65385869263235,62.53288020807774,81.52780665974814,83.5997536860165,85.43054557683023,79.19990917800979,79.82442744520179,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Software licensing & subscriptions,SOFTWARE_RESALE,2089,668,9,25,74.0,33.93968405935854,0.15,0.98,0.98,0.72,0.88,0.72,1379,169,66.01244614648157,95.45454545454545,86.36363636363636,95.45454545454545,22.727272727272727,81.81818181818183,79.97272727272728,89.27636363636364,56.68772727272727,85.22854545454547,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,2025,79.7510770703686,94.46913580246914,82.46913580246914,1.0,82.6946107784431,94.80838323353294,1911,6,29.924968956689185,807,4.604613589444393,0.00711986341876332,97.34170003433962,84.98191230962891,77.42005124548902,91.16312288282043,73.48339700036347,57.9000883732472,78.11966112335479,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Cybersecurity / SOC / managed security,CYBER_PARTNERABLE,2594,839,9,56,20.0,35.659213569776405,0.65,0.86,0.95,0.38,0.5,0.92,1518,92,58.519660755589825,100.0,100.0,90.9090909090909,40.909090909090914,4.545454545454546,75.38181818181819,80.02818181818182,74.1718181818182,77.34036363636363,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,3647,62.10485736314572,83.05456539621606,56.59446120098711,1.0,63.372093023255815,89.01162790697674,3028,14,45.67751605603935,830,13.017952197056628,0.029421655326557335,92.01994113514382,66.73665092441924,74.88368874044569,82.29448184410884,75.78298094993437,71.00989547259726,72.99852297799858,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Microsoft licensing & cloud resale,SOFTWARE_RESALE,1512,652,9,51,60.0,36.044973544973544,0.12,0.99,0.99,0.55,0.88,0.7,626,65,41.402116402116405,86.36363636363636,81.81818181818183,63.63636363636363,50.0,27.27272727272727,65.77272727272727,79.49090909090908,49.24772727272727,77.74454545454545,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,1179,60.714285714285715,86.68363019508058,74.72434266327396,1.0,51.87287173666289,85.56186152099886,1021,12,48.5976001924241,286,6.634476098503139,0.020419550405064706,95.6617844304952,72.70810614322065,70.48995971963758,82.45245058309611,72.87167590112355,53.954640579033615,74.66058363168973,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Network / WAN / wireless infrastructure,NETWORK_RESALE,1316,618,9,50,20.0,32.75075987841946,0.2,0.96,0.65,0.58,0.64,0.78,638,61,48.48024316109422,81.81818181818183,77.27272727272727,81.81818181818183,9.090909090909092,4.545454545454546,59.57272727272728,71.84636363636363,44.55772727272728,75.10054545454545,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,1055,61.39817629179331,88.34123222748815,67.39336492890995,1.0,49.507735583684955,84.85232067510549,929,12,57.41446220358004,416,9.28423236514523,0.01673381427087461,94.52119310388366,71.27964966363675,68.38509889549194,77.79210806696733,73.37981023527647,51.85179297213849,74.0076081527436,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Cloud infrastructure / VMware,CLOUD_INFRA,633,303,9,38,60.0,32.70142180094787,0.55,0.84,0.95,0.4,0.55,0.86,230,31,36.334913112164294,59.09090909090909,54.54545454545454,50.0,4.545454545454546,27.27272727272727,47.28181818181819,58.709090909090904,57.526818181818186,64.37836363636363,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,539,60.821484992101105,92.20779220779221,65.86270871985158,1.0,69.57746478873239,90.87323943661971,496,9,71.58309729466586,165,12.122400941545704,0.032438047151468544,92.31689717165372,71.74974427513358,65.37219850335497,71.48715689058537,74.2066317745066,63.681048478891256,68.99006510251498,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Audio-visual systems & conferencing,AV_RESALE,909,221,9,26,20.0,39.603960396039604,0.32,0.98,0.58,0.72,0.72,0.82,671,13,73.81738173817382,68.18181818181817,45.45454545454545,100.0,68.18181818181817,4.545454545454546,62.29090909090909,68.37636363636364,49.53090909090909,78.80218181818182,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,1107,59.515951595159514,83.19783197831978,73.62240289069557,2.0,26.134969325153374,67.34049079754601,918,5,60.10626669868616,348,32.73103009749893,0.11909293850661953,77.67983802591957,70.85245109876841,64.94009906729706,69.81231897327397,69.12735136962267,53.9642480031323,75.0905870990899,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
ERP / SAP implementation & support,ENTERPRISE_SOFTWARE,870,383,9,48,60.0,35.63218390804598,0.55,0.82,0.92,0.35,0.48,0.92,386,40,44.367816091954026,63.63636363636363,63.63636363636363,72.72727272727273,36.36363636363637,27.27272727272727,59.290909090909096,61.85909090909091,62.480909090909094,68.76218181818182,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,809,51.37931034482759,81.5822002472188,74.16563658838072,4.0,27.166666666666668,46.65,654,9,74.41326845298958,232,3.8121170864533696,0.012738104781936965,97.45703621767646,67.27607518861089,63.24695219460118,64.69866295151256,70.79720255319685,62.92743039101535,72.33071959039536,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Data platform / warehouse / BI,DATA_SOFTWARE,404,181,9,34,60.0,41.089108910891085,0.88,0.82,0.98,0.58,0.68,0.92,198,20,49.00990099009901,40.909090909090914,22.727272727272727,86.36363636363636,77.27272727272727,27.27272727272727,54.518181818181816,59.44181818181818,74.43318181818182,69.05763636363636,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,308,62.12871287128713,82.46753246753246,53.246753246753244,2.0,42.073170731707314,72.12195121951218,247,6,50.79318228031922,159,9.75609756097561,0.024857703043764494,93.87906606732398,65.56577086280056,61.96865364491366,67.75582724028108,67.50913122337539,70.2126882798664,68.45092467142398,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Open-source / Red Hat / Linux services,OPEN_SOURCE,536,187,9,38,60.0,37.12686567164179,0.62,0.9,0.98,0.6,0.7,0.82,224,23,41.791044776119406,50.0,27.27272727272727,68.18181818181817,63.63636363636363,27.27272727272727,51.10909090909091,60.627272727272725,62.49909090909091,69.86581818181818,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,341,47.94776119402985,86.21700879765396,59.23753665689149,1.0,49.504950495049506,84.85148514851485,292,8,40.69338825964728,138,10.526315789473683,0.024910398367965783,93.49132218686486,62.81546811397557,61.11875634758078,70.62054216913026,65.76974751042098,61.479293795861,67.14746908721295,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Video surveillance / CCTV,SECURITY_RESALE,1165,726,9,34,20.0,40.51502145922747,0.28,0.97,0.45,0.62,0.62,0.82,382,62,32.78969957081545,72.72727272727273,90.9090909090909,40.909090909090914,72.72727272727273,4.545454545454546,60.336363636363636,63.908181818181816,45.101363636363644,76.60127272727273,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,898,53.81974248927039,83.184855233853,56.90423162583519,4.0,22.309197651663403,45.19275929549902,744,8,51.27023311753086,476,6.969508400746734,0.009032798775597308,96.06360586084676,63.55462305361461,59.681360383676655,64.95305504358828,63.87069639615587,46.958496595314806,73.44318513180305,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
CRM / Dynamics / Business Central,ENTERPRISE_SOFTWARE,361,213,9,35,60.0,29.362880886426595,0.62,0.84,0.95,0.45,0.58,0.9,136,17,37.67313019390582,36.36363636363637,40.909090909090914,59.09090909090909,0.0,27.27272727272727,41.0,53.55454545454546,57.5,62.64,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,226,56.232686980609415,80.97345132743362,68.14159292035399,1.0,48.05194805194805,84.41558441558442,178,6,60.404021387371415,118,7.446808510638298,0.01816432775011319,95.3683793571752,67.22758806658005,59.34193743026912,67.36613259335117,69.54427185398895,61.113541052993156,66.03619995048123,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
AI / machine learning solutions,AI_AUTOMATION,325,207,9,23,60.0,36.0,0.99,0.8,0.99,0.6,0.64,0.96,94,18,28.923076923076923,31.818181818181817,36.36363636363637,36.36363636363637,45.45454545454545,27.27272727272727,41.054545454545455,52.831818181818186,72.92454545454545,63.24290909090909,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,229,49.53846153846154,87.33624454148472,51.52838427947598,1.0,66.10169491525424,89.83050847457628,195,4,49.677924884398955,150,3.420195439739413,0.01071045846640281,97.75437935681015,61.47477326167282,58.79423975361248,67.83423592460406,68.56063179160356,70.55566006138294,64.48249490359903,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Database / SQL / Oracle services,DATABASE_SOFTWARE,146,70,9,26,60.0,49.31506849315068,0.68,0.86,0.98,0.5,0.62,0.9,55,12,37.67123287671233,9.090909090909092,9.090909090909092,54.54545454545454,95.45454545454545,27.27272727272727,40.22727272727273,43.22727272727272,60.002272727272725,63.57545454545455,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,95,55.47945205479452,94.73684210526316,68.42105263157895,1.0,60.0,88.0,82,5,35.23935908858562,59,10.227272727272728,0.030206181129476577,93.3760545798898,71.13914924297045,55.89410314706171,62.49532311128051,59.976990684680835,59.64445223452727,63.06146970011932,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Advertising / media placement,MEDIA_BROKERAGE,288,236,6,8,82.0,36.45833333333333,0.4,0.98,0.96,0.82,0.84,0.84,30,7,10.416666666666666,18.181818181818183,50.0,9.090909090909092,54.54545454545454,95.45454545454545,44.99090909090909,54.485454545454544,50.64590909090909,72.73618181818183,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,169,55.90277777777778,80.4733727810651,34.9112426035503,4.0,42.3728813559322,51.21186440677966,136,3,68.39357184813157,109,9.70149253731343,0.024164118349905853,93.941047813848,56.976495726495735,55.2397927717398,59.99817962608271,65.84418649534373,53.68118336785885,72.6293083130723,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Digital twin solutions,DIGITAL_TWIN,69,50,8,19,60.0,50.72463768115942,0.9,0.76,0.92,0.4,0.52,0.96,14,4,20.28985507246377,0.0,0.0,18.181818181818183,100.0,27.27272727272727,30.327272727272728,30.763636363636365,63.447272727272725,55.217454545454544,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,34,40.57971014492754,85.29411764705883,29.41176470588235,1.0,70.0,91.0,29,4,67.27241061514839,23,10.526315789473683,0.05016928285626348,92.22837796244998,50.64364876385337,55.209518190346294,54.01862157075284,64.85821317730482,66.13613493955583,60.26940971944805,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Technical studies / feasibility studies,PARTNERABLE_STUDIES,494,355,9,23,70.0,41.093117408906885,0.48,0.96,0.72,0.4,0.55,0.84,100,25,20.242914979757085,45.45454545454545,59.09090909090909,13.636363636363635,81.81818181818183,68.18181818181817,53.53636363636364,47.986363636363635,54.09136363636364,71.36527272727274,OPEN_WORLD_CONCEPTS_V1_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED,239,42.91497975708502,78.66108786610879,33.89121338912134,3.0,40.74074074074074,61.22222222222222,186,3,14.097881497108098,207,2.4937655860349137,0.006563115624626425,98.42496142575122,50.93168227940305,53.51638874373776,58.493856886247436,51.94552712291275,48.64744310621314,63.43777386780892,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
