Discovery_Type,Open_World_Score,Warehouse_Source,Historical_Tender_ID,Title,Description,Category,Subcategory,Buyer_ID,Buyer_Name,Country,Publication_Date,Lean_Fit,Source_URL
CATEGORY_COHORT,96.26166666666667,United Kingdom,ten_ecaee82b7f39f0c0acf7,Authorising Engineer (Decontamination) Services,,Creative / communications,Design / publishing,buy_1f265f88073598e9b883,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,United Kingdom,2026-07-31,80.0,
CATEGORY_COHORT,96.26166666666667,United Kingdom,ten_ad58039eace895f768cd,Community Rooms - Audio Visual,,Creative / communications,Design / publishing,buy_6f8e1322666426ee088f,West Yorkshire Fire and Rescue Authority,United Kingdom,2026-07-31,80.0,
CATEGORY_COHORT,96.26166666666667,United Kingdom,ten_c4dbefc31fd85c780847,DFH Home Ownership Scheme Delivery and Shared Equity Aftersales,,Creative / communications,Design / publishing,buy_4f5b6403196c3bb275a2,Scottish Government,United Kingdom,2026-07-31,80.0,
CATEGORY_COHORT,95.77833333333334,TED,ted_8fbc160199ae7b83d784,Subscrição de licenciamento de software Microsoft Enterprise Agreement,Subscrição de licenciamento de software Microsoft Enterprise Agreement,Automation / software,Software / automation,buy_091d5eef279cbb542f9f,Direção-Geral do Tribunal de Contas,PRT,2026-08-13,74.0,
CATEGORY_COHORT,95.77833333333334,TED,ted_eb16bac7087e48f210ec,"USŁUGA SERWISOWANIA I NAPRAW SIEDMIU LOTNISKOWYCH AUTOMATYCZNYCH SYSTEMÓW POMIARÓW METEOROLOGICZNYCH AWOS-18 (LSM AWOS-18) ORAZ JEDNEGO ZESTAWU MONITOROWANIA AWOS-18 (ZM AWOS-18), W LATACH 2026 – 2028","1. Przedmiotem zamówienia jest usługa serwisowania i napraw siedmiu lotniskowych automatycznych systemów pomiarów meteorologicznych AWOS-18 (LSM AWOS-18) oraz jednego Zestawu Monitorowania AWOS-18 (ZM AWOS-18) w latach 2026 – 2028. 2. Wymogi oraz szczegółowy opis przedmiotu zamówienia wyszczególniono w załączniku nr 1 do SWZ oraz pozostałej dokumentacji przetargowej, która zostanie zamieszczona na stronie internetowej prowadzonego postępowania https://platformazakupowa.pl/pn/2rblog.",Automation / software,Software / automation,buy_e4d061caa68fce2f60e7,2. Regionalna Baza Logistyczna,POL,2026-08-13,74.0,
CATEGORY_COHORT,95.77833333333334,TED,ted_4f2464cb19dd031dcf09,"Dostawa sosów, zup, przypraw przetworzonych, kawy i herbaty oraz miodu naturalnego oraz soków i nektarów w roku 2027 (magazyny w Grudziądzu, Grupie, Chełmnie i Brodnicy)","Przedmiotem jest sukcesywna realizacja dostaw sosów, zup, przypraw przetworzonych, kawy i herbaty oraz miodu naturalnego oraz soków i nektarów do jednostek wojskowych w roku 2027 na podstawie każdorazowo składanych zamówień w ramach zawartej umowy, zgodnie ze wskazanymi przez Zamawiającego normami oraz asortymentem, ilościami i wymaganiami oraz zgodnie z warunkami określonymi przez Zamawiającego. Miejsce realizacji: magazyn - ul. Bema 2, 86-300 Grudziądz magazyn - ul. Jagiełły 6, 86-300 Grudziądz magazyn - ul. Dworcowa 6A, 86-134 Grupa magazyn - Al. 3-go Maja 4, 86-200 Chełmno magazyn - ul. Czwartaków 1, 87-300 Brodnica Dostawy obejmują zakres podstawowy: ­zadanie nr 1 (dostawa sosów, zup, przypraw przetworzonych w roku 2027 magazyny w Grudziądzu, Grupie, Chełmnie i Brodnicy) 58 pozycji asortymentowych, w tym: Barszcz czerwony – instant - 2,00 kg; Barszcz czerwony koncentrat w płynie - 2,00 l; Drożdże suszone - 2,00 kg; Ketchup - 200,00 kg; Ketchup jednoporcjowy - 700,00 kg; Koncentrat pomidorowy - 500,00 kg; Kwasek cytrynowy spożywczy - 10,00 kg; Majonez - 1000,00 kg; Majonez jednoporcjowy - 500,00 kg; Musztarda - 300,00 kg; Musztarda jednoporcjowa - 800,00 kg; Musztarda miodowa - 10,00 kg; Ocet - 500,00 l; Ocet jabłkowy - 10,00 l; Pasta curry - 5,00 kg; Rosół wołowy - 1,00 kg; Sos 1000 wysp - 5,00 l; Sos barbecue - 50,00 l; Sos czosnkowy - 5,00 l; Sos słodko-kwaśny - 100,00 l; Sos sojowy jasny - 50,00 l; Żelatyna spożywcza - 5,00 kg; Żurek na zakwasie koncentrat - 10,00 kg; Bazylia - 20,00 kg; Borowik suszony - 10,00 kg; Przyprawa curry - 10,00 kg; Cynamon - 10,00 kg; Czosnek - 10,00 kg; Estragon - 3,00 kg; Gałka muszkatołowa - 3,00 kg; Goździki - 3,00 kg; Imbir mielony - 3,00 kg; Kmin rzymski mielony - 3,00 kg; Kminek cały - 10,00 kg; Kolendra - 3,00 kg; Kurkuma - 3,00 kg; Liść laurowy - 10,00 kg; Lubczyk - 3,00 kg; Majeranek - 30,00 kg; Oregano - 20,00 kg; Papryka chili - 10,00 kg; Papryka słodka - 10,00 kg; Papryka słodka wędzona - 2,00 kg; Pieprz cytrynowy - 10,00 kg; Pieprz czarny mielony - 50,00 kg; Pieprz ziołowy - 2,00 kg; Podgrzybek suszony - 1,00 kg; Przyprawa do kurczaka - 50,00 kg; Przyprawa do mięsa - 50,00 kg; Przyprawa do ryb - 10,00 kg; Przyprawa do zup w płynie - 300,00 l; Przyprawa Garam Masala - 20,00 kg; Przyprawa gyros - 50,00 kg; Przyprawa uniwersalna - 100,00 kg; Rozmaryn - 3,00 kg; Tymianek - 3,00 kg; Ziele angielskie - 30,00 kg; Zioła prowansalskie - 20,00 kg. Dostawy obejmują zakres podstawowy ­zadanie nr 2 (dostawa kawy i herbaty w roku 2027 magazyny w Grudziądzu, Grupie, Chełmnie i Brodnicy) 6 pozycji asortymentowych, w tym: Herbata czarna liściasta - 1,00 kg; Herbata czarna w torebkach (ekspresowa) - 500,00 kg; Herbata witaminizowana smaki: cytrynowy, malinowym, wieloowocowym - 50,00 kg; Kawa naturalna mielona - 1,00 kg; Kawa naturalna ziarnista - 10,00 kg; Kawa rozpuszczalna - 500,00 kg. Dostawy obejmują zakres podstawowy ­zadanie nr 3 (dostawa miodu naturalnego w roku 2027 magazyny w Grudziądzu, Grupie, Chełmnie i Brodnicy) 2 pozycje asortymentowe, w tym: Miód nektarowy wielokwiatowy - 100,00 kg; Miód nektarowy wielokwiatowy jednoporcjowy - 200,00 kg. Dostawy obejmują zakres podstawowy ­zadanie nr 4 (dostawa soków i nektarów w roku 2027 magazyny w Grudziądzu, Grupie, Chełmnie i Brodnicy) 10 pozycji asortymentowych, w tym: Nektar z czarnej porzeczki 330ml - 100,00 l; Nektar z czarnej porzeczki 1000ml - 500,00 l; Sok jabłkowy 200ml - 2 000,00 l; Sok jabłkowy 1000ml - 1 000,00 l; Sok pomarańczowy 200ml - 2 000,00 l; Sok pomarańczowy 1000ml - 1 000,00 l; Sok pomidorowy 1000ml - 5,00 l; Sok wieloowocowy (multiwitamina) 200ml - 2 000,00 l; Sok wieloowocowy (multiwitamina) 1000ml - 1 000,00 l; Sok z czarnej porzeczki tłoczony 3000ml - 1,00 l. Zamawiający planuje wszczęcie procedury otwartej na okres sierpień/wrzesień 2026 r. z zastrzeżeniem ponownego przeprowadzenia procedury w przypadku uprzedniego jej unieważnienia, którego wszczęcie może przypadać również na okres IV kwartału 2026 r. Informacje ogólne o platformie, na której wystawiane są postępowania o udzielenie zamówienia publicznego znajdują się pod adresem: https://13wog.wp.mil.pl/bip/a-ogoszenia/-1025498y-zamowienia-realizowane-z-wykorzystaniem-platformy-zakupowej/",Automation / software,Software / automation,buy_e4d061caa68fce2f60e7,Skarb Państwa - 13 Wojskowy Oddział Gospodarczy (13 WOG),POL,2026-08-13,74.0,
CATEGORY_COHORT,95.55333333333333,United Kingdom,ten_1b77ec6ed07203ed35e2,Group messaging framework,,Automation / software,Software / automation,buy_e32c6a3ca52f0210eb6a,JISC,United Kingdom,2026-07-31,72.0,
CATEGORY_COHORT,95.55333333333333,United Kingdom,ten_6504fc4ee388c2685bb5,Retail Telecommunications Maintenance Services Extension and Associated Renewal Works,,Automation / software,Software / automation,buy_884cdee5f8d00c5976af,TRANSPORT UK EAST MIDLANDS LIMITED,United Kingdom,2026-07-31,72.0,
CATEGORY_COHORT,95.55333333333333,United Kingdom,ten_053373a992df90c7743e,Estates Strategy,,Automation / software,Software / automation,buy_ab977368d8cf533ad22c,City College Plymouth,United Kingdom,2026-07-31,72.0,
CATEGORY_COHORT,95.34333333333333,TED,ted_3c579b3084b28991a9f0,"Concurso Público com publicidade no Jornal Oficial da União Europeia n.º 03/NGAC/2026 para a aquisição de serviços de higiene e limpeza para as instalações do Instituto Superior Técnico, campus da Alameda, em Lisboa, designadamente nos Edifícios de Matemática e Física","Aquisição de serviços de higiene e limpeza para as instalações do Instituto Superior Técnico, campus daAlameda, em Lisboa, designadamente nos Edifícios de Matemática e Física",Creative / communications,Design / publishing,buy_091d5eef279cbb542f9f,Instituto Superior Técnico,PRT,2026-08-12,82.0,
