Discovery_Type,Label,Warehouse_Source,Volume,Unique_Buyers,Countries,Recent_12m_Share_Pct,Lean_Fit,Open_World_Score
TITLE_TERM,platform,MULTI,2273,997,57,44.478662560492744,50.67966845441248,96.72559139784946
CATEGORY_COHORT,Creative / communications :: Design / publishing,United Kingdom,2091,797,1,40.17216642754663,80.0,96.26166666666667
TITLE_TERM,subscription,MULTI,1290,418,30,50.23255813953488,38.51529411764706,96.09320099255582
CATEGORY_COHORT,Automation / software :: Software / automation,TED,27343,2441,83,35.544746370186154,74.0,95.77833333333334
TITLE_PATTERN,vergabe einer dienstleistungskonzession fur den offentlich geforderten aufbau und betrieb eines gigabitnetzes nach # gigabit rahmenregelung des bundesministerium fur verkehr und digitale infrastruktur vom # # #,Germany,164,150,1,43.292682926829265,82.0,95.61054149311119
CATEGORY_COHORT,Automation / software :: Software / automation,United Kingdom,3989,1319,1,36.500376034093755,72.0,95.55333333333333
CATEGORY_COHORT,Creative / communications :: Design / publishing,TED,10836,1172,162,33.850129198966414,82.0,95.34333333333333
TITLE_TERM,client,MULTI,757,285,28,54.02906208718626,35.52309782608695,95.29728701406123
CATEGORY_COHORT,Automation / software :: IT services / software,TED,50131,3455,72,33.677764257644974,60.0,95.25833333333333
TITLE_TERM,software,MULTI,11452,2639,62,37.26859937128886,66.90218091469586,95.22547559966915
TITLE_TERM,tool,MULTI,1408,568,37,40.69602272727273,49.871530531324346,95.10034739454095
TITLE_TERM,license,MULTI,525,238,37,49.142857142857146,43.85299806576403,95.03626137303557
TITLE_TERM,renewal,MULTI,1269,421,31,52.79747832939322,31.74414850686037,95.03454094292805
CATEGORY_COHORT,Automation / software :: IT services / software,Germany,15168,2139,1,33.47837552742617,60.0,94.97166666666666
TITLE_TERM,monitoring,MULTI,3339,1189,65,37.97544174902666,55.297409657818996,94.95826302729529
CATEGORY_COHORT,Monitoring / research :: Monitoring / analysis,TED,4266,447,97,36.02906704172527,70.0,94.94166666666666
CATEGORY_COHORT,Other :: UNKNOWN,TED,729157,31824,267,31.58140153629465,20.0,94.91499999999999
CATEGORY_COHORT,Automation / software :: Software / automation,Germany,34425,2860,1,31.988380537400147,74.0,94.88166666666666
CATEGORY_COHORT,Monitoring / research :: Monitoring / analysis,Germany,6982,1405,1,33.543397307361786,70.0,94.85499999999999
TITLE_TERM,cloud,MULTI,2439,958,50,38.089380893808936,55.41847354726799,94.84997518610422
CATEGORY_COHORT,Creative / communications :: Design / publishing,Germany,10716,2258,1,31.886898096304588,82.0,94.82333333333334
TITLE_TERM,data,MULTI,4003,1331,61,39.57032225830627,40.286768581971536,94.76304383788255
CATEGORY_COHORT,Creative / communications :: Design / publishing,TenderNed,2020,434,1,33.910891089108915,82.0,94.55833333333334
TITLE_TERM,diagnostic,MULTI,2624,1370,27,42.33993902439025,33.65933641975309,94.48423490488007
TITLE_TERM,planning,MULTI,1259,633,45,44.8768864177919,33.20484949832776,94.46880066170391
CATEGORY_COHORT,Monitoring / research :: Monitoring / analysis,United Kingdom,819,438,1,36.26373626373626,70.0,94.42000000000002
TITLE_TERM,open,MULTI,3226,714,48,39.832610043397395,37.05160857908847,94.21645988420181
CATEGORY_COHORT,Automation / software :: Software / automation,Canada federal,582,123,1,37.80068728522337,72.0,94.12833333333333
CATEGORY_COHORT,Automation / software :: Software / automation,TenderNed,4609,779,1,31.481883271859406,74.0,94.10166666666666
TITLE_TERM,windows,MULTI,682,350,37,45.894428152492665,34.980509745127435,94.09363110008272
TITLE_TERM,pacs,MULTI,486,152,32,44.44444444444444,55.96631578947368,94.0378329197684
CATEGORY_COHORT,Other :: UNKNOWN,TenderNed,37132,1618,1,30.71205429279328,20.0,94.02833333333334
TITLE_TERM,market,MULTI,4654,1017,47,43.51095831542759,30.163652601027014,93.89740281224152
CATEGORY_COHORT,Automation / software :: IT services / software,TenderNed,2134,586,1,32.33364573570759,60.0,93.75833333333333
TITLE_TERM,analytics,MULTI,337,209,32,45.6973293768546,48.58074534161491,93.70916459884202
CATEGORY_COHORT,Monitoring / research :: Monitoring / analysis,TenderNed,2619,459,1,31.882397861779303,70.0,93.67500000000001
TITLE_TERM,asset,MULTI,804,449,45,42.288557213930346,35.590673575129536,93.67389578163773
TITLE_PATTERN,softwarebroker,TenderNed,30,24,1,46.666666666666664,74.0,93.65427747516821
TITLE_TERM,automation,MULTI,518,227,36,39.575289575289574,67.44948453608248,93.64286186931349
TITLE_TERM,implementation,MULTI,1130,508,80,37.9646017699115,44.228070175438596,93.59204301075269
TITLE_TERM,licenses,MULTI,411,207,28,45.01216545012166,42.351485148514854,93.53604631927212
TITLE_TERM,based,MULTI,1450,553,50,45.86206896551724,29.58939929328622,93.5294458229942
TITLE_TERM,digital,MULTI,5368,1304,63,36.661698956780924,39.228080120937264,93.46673283705542
TITLE_TERM,house,MULTI,2964,778,38,42.13900134952767,30.47476125511596,93.39048800661703
TITLE_TERM,enterprise,MULTI,2246,809,59,35.30721282279608,51.279208831646734,93.38904880066173
TITLE_TERM,cyber,MULTI,739,438,35,42.35453315290934,34.01571428571429,93.3478577336642
TITLE_TERM,research,MULTI,1752,623,43,39.6689497716895,33.577777777777776,93.2787758478081
TITLE_TERM,intelligence,MULTI,788,424,39,37.69035532994924,47.989203778677464,93.25791563275436
TITLE_TERM,access,MULTI,1842,803,49,40.60803474484256,31.66961815163254,93.19720430107526
TITLE_TERM,reporting,MULTI,538,321,35,43.86617100371747,34.66218809980806,93.15827956989247
TITLE_TERM,security,MULTI,3359,1313,95,38.34474545995832,33.43933312750849,93.1540777502068
CATEGORY_COHORT,Automation / software :: Software / automation,France,3992,1945,1,28.256513026052104,74.0,93.13166666666666
TITLE_TERM,finance,MULTI,647,407,35,43.12210200927357,33.15650741350906,93.11636062861871
TITLE_TERM,hana,MULTI,610,230,29,38.36065573770492,60.27545909849749,93.10535980148883
