Warehouse_Source,Category,Subcategory,Tender_Count,Unique_Buyers,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,Active_Years,Volume_Pct,Buyer_Breadth_Pct,Recency_Pct,Lean_Pct,Open_World_Score,Discovery_Type
United Kingdom,Creative / communications,Design / publishing,2091,797,1,80.0,40.17216642754663,4,97.41666666666666,98.16666666666667,87.25,99.41666666666666,96.26166666666667,DATA_NATIVE_COHORT
TED,Automation / software,Software / automation,27343,2441,83,74.0,35.544746370186154,7,99.08333333333333,99.08333333333333,80.83333333333333,99.0,95.77833333333334,DATA_NATIVE_COHORT
United Kingdom,Automation / software,Software / automation,3989,1319,1,72.0,36.500376034093755,4,97.91666666666666,98.5,82.83333333333334,98.75,95.55333333333333,DATA_NATIVE_COHORT
TED,Creative / communications,Design / publishing,10836,1172,162,82.0,33.850129198966414,5,98.75,98.41666666666666,79.08333333333334,99.66666666666667,95.34333333333333,DATA_NATIVE_COHORT
TED,Automation / software,IT services / software,50131,3455,72,60.0,33.677764257644974,5,99.33333333333333,99.33333333333333,78.91666666666667,97.66666666666667,95.25833333333333,DATA_NATIVE_COHORT
Germany,Automation / software,IT services / software,15168,2139,1,60.0,33.47837552742617,4,98.91666666666666,98.91666666666666,78.66666666666666,97.66666666666667,94.97166666666666,DATA_NATIVE_COHORT
TED,Monitoring / research,Monitoring / analysis,4266,447,97,70.0,36.02906704172527,4,98.08333333333333,97.25,81.83333333333334,98.08333333333333,94.94166666666666,DATA_NATIVE_COHORT
TED,Other,UNKNOWN,729157,31824,267,20.0,31.58140153629465,8,100.0,100.0,75.08333333333333,97.5,94.91499999999999,DATA_NATIVE_COHORT
Germany,Automation / software,Software / automation,34425,2860,1,74.0,31.988380537400147,4,99.16666666666667,99.16666666666667,75.58333333333334,99.0,94.88166666666666,DATA_NATIVE_COHORT
Germany,Monitoring / research,Monitoring / analysis,6982,1405,1,70.0,33.543397307361786,4,98.41666666666666,98.58333333333333,78.83333333333333,98.08333333333333,94.85499999999999,DATA_NATIVE_COHORT
Germany,Creative / communications,Design / publishing,10716,2258,1,82.0,31.886898096304588,4,98.66666666666667,99.0,75.5,99.66666666666667,94.82333333333334,DATA_NATIVE_COHORT
TenderNed,Creative / communications,Design / publishing,2020,434,1,82.0,33.910891089108915,4,97.33333333333334,97.08333333333333,79.16666666666666,99.66666666666667,94.55833333333334,DATA_NATIVE_COHORT
United Kingdom,Monitoring / research,Monitoring / analysis,819,438,1,70.0,36.26373626373626,4,96.33333333333334,97.16666666666667,82.16666666666667,98.08333333333333,94.42000000000002,DATA_NATIVE_COHORT
Canada federal,Automation / software,Software / automation,582,123,1,72.0,37.80068728522337,4,96.0,94.91666666666667,83.5,98.75,94.12833333333333,DATA_NATIVE_COHORT
TenderNed,Automation / software,Software / automation,4609,779,1,74.0,31.481883271859406,4,98.16666666666667,97.91666666666666,74.83333333333333,99.0,94.10166666666666,DATA_NATIVE_COHORT
TenderNed,Other,UNKNOWN,37132,1618,1,20.0,30.71205429279328,4,99.25,98.66666666666667,73.41666666666666,97.5,94.02833333333334,DATA_NATIVE_COHORT
TenderNed,Automation / software,IT services / software,2134,586,1,60.0,32.33364573570759,4,97.5,97.66666666666667,76.25,97.66666666666667,93.75833333333333,DATA_NATIVE_COHORT
TenderNed,Monitoring / research,Monitoring / analysis,2619,459,1,70.0,31.882397861779303,4,97.66666666666667,97.33333333333334,75.41666666666667,98.08333333333333,93.67500000000001,DATA_NATIVE_COHORT
France,Automation / software,Software / automation,3992,1945,1,74.0,28.256513026052104,4,98.0,98.83333333333333,68.41666666666667,99.0,93.13166666666666,DATA_NATIVE_COHORT
France,Creative / communications,Design / publishing,10328,4588,1,82.0,26.2006196746708,4,98.58333333333333,99.5,62.83333333333333,99.66666666666667,92.64666666666668,DATA_NATIVE_COHORT
Ireland,Automation / software,IT services / software,1136,244,1,60.0,29.753521126760564,4,96.75,96.58333333333333,71.83333333333334,97.66666666666667,92.44166666666666,DATA_NATIVE_COHORT
Ireland,Automation / software,Software / automation,1023,212,1,72.0,29.03225806451613,4,96.66666666666667,96.16666666666667,70.08333333333333,98.75,92.25166666666667,DATA_NATIVE_COHORT
Canada federal,Creative / communications,Design / publishing,464,89,1,80.0,30.81896551724138,4,95.91666666666666,93.08333333333333,74.0,99.41666666666666,92.075,DATA_NATIVE_COHORT
France,Monitoring / research,Monitoring / analysis,17105,6068,1,70.0,24.88161356328559,4,99.0,99.58333333333333,59.583333333333336,98.08333333333333,91.83666666666667,DATA_NATIVE_COHORT
Quebec,Creative / communications,Design / publishing,14342,782,1,82.0,24.466601589736438,11,98.83333333333333,98.0,59.25,99.66666666666667,91.69166666666668,DATA_NATIVE_COHORT
Quebec,Automation / software,Software / automation,7739,539,1,74.0,23.504328724641425,9,98.5,97.5,56.833333333333336,99.0,90.86000000000001,DATA_NATIVE_COHORT
United Kingdom,Automation / software,IT services / software,1784,790,1,60.0,23.766816143497756,4,97.16666666666667,98.08333333333333,57.333333333333336,97.66666666666667,90.35499999999999,DATA_NATIVE_COHORT
Ireland,Monitoring / research,Monitoring / analysis,227,92,1,70.0,27.75330396475771,4,93.58333333333333,93.33333333333333,66.91666666666667,98.08333333333333,89.79833333333332,DATA_NATIVE_COHORT
Quebec,Monitoring / research,Monitoring / analysis,3678,684,1,70.0,21.0984230560087,9,97.83333333333334,97.83333333333334,51.0,98.08333333333333,89.46333333333334,DATA_NATIVE_COHORT
Canada federal,Monitoring / research,Monitoring / analysis,119,56,1,70.0,26.89075630252101,4,90.33333333333333,88.41666666666667,64.25,98.08333333333333,87.0,DATA_NATIVE_COHORT
Ireland,Creative / communications,Design / publishing,45,38,1,80.0,33.33333333333333,4,75.5,82.33333333333334,76.75,99.41666666666666,83.24166666666666,DATA_NATIVE_COHORT
United Kingdom,Other,UNKNOWN,64946,3392,1,15.0,74.5342284359314,2,99.5,99.25,98.83333333333333,0.08333333333333334,75.455,DATA_NATIVE_COHORT
Ireland,Other,School meals.,1264,1049,1,15.0,92.48417721518987,4,96.91666666666666,98.25,99.75,0.08333333333333334,74.53333333333333,DATA_NATIVE_COHORT
