Warehouse_Source,Title_Pattern,Tender_Count,Unique_Buyers,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Recency_Pct,Lean_Pct,Open_World_Score,Discovery_Type
Germany,"vergabe einer dienstleistungskonzession fur den offentlich geforderten aufbau und betrieb eines gigabitnetzes nach # gigabit rahmenregelung des bundesministerium fur verkehr und digitale infrastruktur vom # # #",164,150,1,82.0,43.292682926829265,99.47933354694008,99.967958987504,74.88785645626402,99.14290291573214,95.61054149311119,NORMALIZED_TITLE_PATTERN
TenderNed,softwarebroker,30,24,1,74.0,46.666666666666664,94.88144825376482,98.7263697532842,76.31368151233579,97.34059596283242,93.65427747516821,NORMALIZED_TITLE_PATTERN
TenderNed,warme drankenvoorziening,35,23,1,74.0,31.428571428571427,95.92278115988465,98.63024671579622,55.50304389618712,97.34059596283242,90.60813841717399,NORMALIZED_TITLE_PATTERN
TenderNed,warme drankenautomaten,17,14,1,74.0,41.17647058823529,88.08074335148991,97.26850368471644,72.72508811278436,97.34059596283242,90.60253123998717,NORMALIZED_TITLE_PATTERN
France,services de telecommunications,36,32,1,82.0,27.77777777777778,96.09900672861262,99.20698494072413,51.281640499839796,99.14290291573214,90.59115668055111,NORMALIZED_TITLE_PATTERN
Germany,ki server,17,7,1,60.0,64.70588235294117,88.08074335148991,91.72540852290932,86.31848766421018,94.65716116629285,90.47052226850369,NORMALIZED_TITLE_PATTERN
Germany,microsoft lizenzen,22,14,1,60.0,36.36363636363637,92.10990067286127,97.26850368471644,62.73630246715797,94.65716116629285,89.56904838192887,NORMALIZED_TITLE_PATTERN
TenderNed,zaaksysteem,18,18,1,60.0,38.88888888888889,89.19416853572572,98.1256007689843,64.74687600128163,94.65716116629285,89.27314963152836,NORMALIZED_TITLE_PATTERN
Germany,beschaffung von microsoft lizenzen,20,5,1,60.0,65.0,90.78820890740147,84.9887856456264,86.35052867670619,94.65716116629285,89.26690163409162,NORMALIZED_TITLE_PATTERN
Germany,vmware lizenzen,29,11,1,60.0,31.03448275862069,94.59307914130086,96.04293495674463,55.28676706183916,94.65716116629285,88.75440563921819,NORMALIZED_TITLE_PATTERN
Germany,citrix lizenzen,29,16,1,60.0,27.586206896551722,94.59307914130086,97.72508811278436,51.241589234219795,94.65716116629285,88.61182313361101,NORMALIZED_TITLE_PATTERN
United Kingdom,finance system,13,11,1,60.0,46.15384615384615,82.15315603973086,96.04293495674463,76.11342518423582,94.65716116629285,88.35469400833065,NORMALIZED_TITLE_PATTERN
United Kingdom,leisure management system,12,11,1,72.0,50.0,79.55783402755527,96.04293495674463,76.63409163729574,97.30054469721243,88.29381608458827,NORMALIZED_TITLE_PATTERN
Germany,gpu server,47,4,1,60.0,40.42553191489361,97.23646267222044,80.33482858058315,72.62095482217238,94.65716116629285,87.60845882729893,NORMALIZED_TITLE_PATTERN
France,prestations de communication,11,8,1,82.0,54.54545454545454,76.2976610060878,93.26337712271707,80.49503364306312,99.14290291573214,87.54181352130726,NORMALIZED_TITLE_PATTERN
Germany,leistungen des inbetriebnahmemanagements und technischen monitorings,22,10,1,70.0,27.27272727272727,92.10990067286127,95.34604293495674,50.6247997436719,96.66773470041653,87.53700736943287,NORMALIZED_TITLE_PATTERN
TED,it drift,17,9,4,60.0,35.294117647058826,88.08074335148991,94.46491509131688,62.31976930471003,94.65716116629285,87.45257930150592,NORMALIZED_TITLE_PATTERN
France,prestations topographiques,12,8,1,82.0,41.66666666666667,79.55783402755527,93.26337712271707,72.85325216276834,99.14290291573214,87.29718039090035,NORMALIZED_TITLE_PATTERN
TenderNed,wmo consulent,20,6,1,70.0,35.0,90.78820890740147,89.35437359820571,62.15956424223006,96.66773470041653,87.18856135853893,NORMALIZED_TITLE_PATTERN
TED,fastighetssystem,48,7,2,60.0,25.0,97.33258570970843,91.72540852290932,47.652995834668374,94.65716116629285,87.05959628324254,NORMALIZED_TITLE_PATTERN
TenderNed,soortenmanagementplan smp,10,8,1,70.0,70.0,72.31656520346043,93.26337712271707,87.92053828900993,96.66773470041653,86.9415251521948,NORMALIZED_TITLE_PATTERN
United Kingdom,hr payroll system,11,11,1,60.0,45.45454545454545,76.2976610060878,96.04293495674463,75.78500480615187,94.65716116629285,86.54549823774431,NORMALIZED_TITLE_PATTERN
TED,dostawa serwerow,29,5,2,60.0,34.48275862068966,94.59307914130086,84.9887856456264,62.06344120474206,94.65716116629285,86.52242870874719,NORMALIZED_TITLE_PATTERN
TenderNed,microsoft licenties,18,17,1,60.0,22.22222222222222,89.19416853572572,97.90131368151233,45.85869913489266,94.65716116629285,86.18375520666453,NORMALIZED_TITLE_PATTERN
Canada federal,elder services,65,6,1,80.0,20.0,98.30182633771227,89.35437359820571,36.895225889138096,99.08683114386415,85.98093559756488,NORMALIZED_TITLE_PATTERN
TED,dostawa serwera,14,4,2,60.0,64.28571428571429,84.00352451137456,80.33482858058315,86.2784363985902,94.65716116629285,85.82377443127203,NORMALIZED_TITLE_PATTERN
Canada federal,elder helper services,34,5,1,80.0,20.588235294117645,95.77058635052867,84.9887856456264,45.305991669336755,99.08683114386415,85.25760974046779,NORMALIZED_TITLE_PATTERN
TED,ekonomisystem,52,4,2,60.0,30.76923076923077,97.59692406280038,80.33482858058315,54.9983979493752,94.65716116629285,84.89698814482537,NORMALIZED_TITLE_PATTERN
TED,microsoft,26,4,3,60.0,34.61538461538461,93.784043575777,80.33482858058315,62.08747196411407,94.65716116629285,84.88737584107658,NORMALIZED_TITLE_PATTERN
Quebec,etude geotechnique et caracterisation environnementale,11,10,1,70.0,36.36363636363637,76.2976610060878,95.34604293495674,62.73630246715797,96.66773470041653,84.73117590515861,NORMALIZED_TITLE_PATTERN
TED,licenspartner,26,3,2,60.0,50.0,93.784043575777,71.73181672540852,76.63409163729574,94.65716116629285,84.63393143223325,NORMALIZED_TITLE_PATTERN
United Kingdom,housing management system,11,11,1,60.0,36.36363636363637,76.2976610060878,96.04293495674463,62.73630246715797,94.65716116629285,84.45770586350528,NORMALIZED_TITLE_PATTERN
Germany,patientenportal,26,16,1,60.0,7.6923076923076925,93.784043575777,97.72508811278436,26.281640499839792,94.65716116629285,84.37552066645306,NORMALIZED_TITLE_PATTERN
France,mise a disposition installation entretien maintenance et exploitation des mobiliers urbains publicitaires et non publicitaires,9,9,1,82.0,44.44444444444444,67.00576738224927,94.46491509131688,75.05607177186799,99.14290291573214,84.24447292534444,NORMALIZED_TITLE_PATTERN
Quebec,renouvellement de licences,10,6,1,74.0,50.0,72.31656520346043,89.35437359820571,76.63409163729574,97.34059596283242,84.12447933354694,NORMALIZED_TITLE_PATTERN
United Kingdom,managed print service,9,5,1,80.0,77.77777777777779,67.00576738224927,84.9887856456264,89.17814802947774,99.08683114386415,83.64770906760653,NORMALIZED_TITLE_PATTERN
TED,"contrato de servicios contr # #",95,9,2,20.0,84.21052631578947,98.95866709388017,94.46491509131688,91.63729573854535,45.21787888497277,83.54133290611983,NORMALIZED_TITLE_PATTERN
TED,"# # # # # # # #",243,24,6,20.0,50.20576131687243,99.70362063441205,98.7263697532842,80.19064402435117,45.21787888497277,83.21179109259852,NORMALIZED_TITLE_PATTERN
TenderNed,klantmanager inkomen,12,4,1,70.0,41.66666666666667,79.55783402755527,80.33482858058315,72.85325216276834,96.66773470041653,82.82457545658443,NORMALIZED_TITLE_PATTERN
Quebec,licences,10,5,1,74.0,50.0,72.31656520346043,84.9887856456264,76.63409163729574,97.34059596283242,82.81480294777315,NORMALIZED_TITLE_PATTERN
TED,"contrato de suministros contr # #",56,7,1,20.0,96.42857142857143,97.87728292214034,91.72540852290932,92.95097725088112,45.21787888497277,82.60525472604934,NORMALIZED_TITLE_PATTERN
TenderNed,das schoolmeubilair primair onderwijs,42,42,1,20.0,52.38095238095239,96.8760012816405,99.48734380006408,80.22268503684717,45.21787888497277,82.59692406280038,NORMALIZED_TITLE_PATTERN
TenderNed,software broker,16,12,1,74.0,6.25,86.89522588913809,96.49150913168856,25.961230374879847,97.34059596283242,82.53156039730855,NORMALIZED_TITLE_PATTERN
TED,"# # # # #",562,65,7,20.0,40.213523131672595,99.91989746876001,99.75969240628004,72.60493431592438,45.21787888497277,82.37295738545338,NORMALIZED_TITLE_PATTERN
TED,serwis oprogramowania,27,4,2,60.0,22.22222222222222,94.04838192886895,80.33482858058315,45.85869913489266,94.65716116629285,82.37007369432874,NORMALIZED_TITLE_PATTERN
TED,dostawa sprzetu komputerowego,125,18,2,20.0,48.8,99.27106696571612,98.1256007689843,76.61807113104774,45.21787888497277,82.33018263377122,NORMALIZED_TITLE_PATTERN
TED,hr system,17,3,3,60.0,41.17647058823529,88.08074335148991,71.73181672540852,72.72508811278436,94.65716116629285,82.29750080102531,NORMALIZED_TITLE_PATTERN
TED,"contrato de suministro contr # #",110,18,2,20.0,50.0,99.12688240948414,98.1256007689843,76.63409163729574,45.21787888497277,82.28949054790131,NORMALIZED_TITLE_PATTERN
TenderNed,warme dranken automaten,11,7,1,74.0,27.27272727272727,76.2976610060878,91.72540852290932,50.6247997436719,97.34059596283242,81.86863184876641,NORMALIZED_TITLE_PATTERN
Germany,adobe lizenzen,18,4,1,60.0,27.77777777777778,89.19416853572572,80.33482858058315,51.281640499839796,94.65716116629285,81.78148029477731,NORMALIZED_TITLE_PATTERN
TED,bevakningstjanster,58,12,2,20.0,43.103448275862064,97.94937520025633,96.49150913168856,74.87183595001602,45.21787888497277,81.16404998397948,NORMALIZED_TITLE_PATTERN
France,prestations topographiques et foncieres,12,9,1,82.0,16.666666666666664,79.55783402755527,94.46491509131688,32.22524831784684,99.14290291573214,81.15716116629285,NORMALIZED_TITLE_PATTERN
TED,"jaen primer cbam am # #",17,12,1,20.0,100.0,88.08074335148991,96.49150913168856,92.99102851650112,45.21787888497277,81.10253123998717,NORMALIZED_TITLE_PATTERN
TED,arendehanteringssystem,12,5,3,60.0,33.33333333333333,79.55783402755527,84.9887856456264,55.91156680551106,94.65716116629285,81.02755527074655,NORMALIZED_TITLE_PATTERN
TED,dostawa srodkow czystosci,44,11,2,20.0,47.72727272727273,97.02018583787248,96.04293495674463,76.53796859980775,45.21787888497277,81.01730214674782,NORMALIZED_TITLE_PATTERN
TED,"# # # # # # #",181,27,5,20.0,39.226519337016576,99.55142582505607,98.91861582826017,64.85100929189362,45.21787888497277,80.7694649150913,NORMALIZED_TITLE_PATTERN
