Category,Subcategory,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Source_Breadth_Pct,Recency_Pct,Lean_Pct,Open_World_Score,Specificity
Other,UNKNOWN,1518210,58668,8,274,20.0,33.021387028144986,100.0,100.0,99.49664429530202,78.35570469798657,99.32885906040269,96.53523489932886,GENERIC
Automation / software,Software / automation,83702,10218,8,90,74.0,32.37915461996129,99.49664429530202,99.32885906040269,99.49664429530202,77.51677852348993,99.83221476510067,96.23657718120805,SPECIFIC
Automation / software,IT services / software,70353,7214,5,76,60.0,33.27932000056856,99.16107382550335,98.8255033557047,99.32885906040269,78.52348993288591,99.49664429530202,96.08892617449665,SPECIFIC
Creative / communications,Design / publishing,50842,10158,8,169,82.0,29.469729750993274,98.8255033557047,99.16107382550335,99.49664429530202,70.9731543624161,100.0,95.0738255033557,SPECIFIC
Monitoring / research,Monitoring / analysis,35815,9649,8,104,70.0,28.306575457210663,98.65771812080537,98.99328859060402,99.49664429530202,67.78523489932886,99.66442953020133,94.43959731543625,SPECIFIC
Other,School meals.,1264,1049,1,1,15.0,92.48417721518987,97.48322147651007,98.48993288590604,0.0,99.83221476510067,0.16778523489932887,63.00000000000001,SPECIFIC
UNKNOWN,UNKNOWN,100037,4401,1,1,,34.57120865279846,99.66442953020133,98.65771812080537,0.0,81.54362416107382,0.0,60.84563758389261,GENERIC
Other,General-practitioner services,900,105,1,1,15.0,45.44444444444444,96.97986577181209,92.11409395973155,0.0,92.78523489932886,0.16778523489932887,60.40436241610739,SPECIFIC
Other,Health services,5526,571,1,1,15.0,32.13897937024973,98.48993288590604,98.15436241610739,0.0,76.51006711409396,0.16778523489932887,59.69966442953021,SPECIFIC
Other,Services,115535,21930,1,1,15.0,28.46669840308132,99.83221476510067,99.83221476510067,0.0,68.12080536912751,0.16778523489932887,59.172818791946305,GENERIC
Other,Hospital and related services,305,89,1,1,15.0,42.62295081967213,94.29530201342283,90.77181208053692,0.0,91.2751677852349,0.16778523489932887,59.15771812080538,SPECIFIC
