Type,Label,Volume,Buyers,Sources,Countries,Lean,Recent,Score
GLOBAL_COHORT,Automation / software :: Software / automation,83702,10218,8,90,74.0,32.37915461996129,96.23657718120805
GLOBAL_COHORT,Automation / software :: IT services / software,70353,7214,5,76,60.0,33.27932000056856,96.08892617449665
2-GRAM,security operations,199,118,6,24,57.05347593582888,47.73869346733668,95.81726679657714
2-GRAM,media monitoring,139,90,6,13,70.76691729323308,47.48201438848921,95.74170973481318
2-GRAM,information system,265,186,7,33,66.704,43.0188679245283,95.73132254511565
GLOBAL_COHORT,Creative / communications :: Design / publishing,50842,10158,8,169,82.0,29.469729750993274,95.0738255033557
3-GRAM,security operations center,112,55,4,19,61.59405940594059,48.214285714285715,94.7244259933915
2-GRAM,einer dienstleistungskonzession,389,240,2,3,57.19023136246787,43.958868894601544,94.68401253918495
2-GRAM,operations center,119,60,4,21,61.06542056074766,46.21848739495798,94.50187240532068
GLOBAL_COHORT,Monitoring / research :: Monitoring / analysis,35815,9649,8,104,70.0,28.306575457210663,94.43959731543625
2-GRAM,monitoring system,167,110,7,28,45.56172839506173,44.31137724550898,94.4180123697365
2-GRAM,data platform,110,63,5,12,54.45544554455446,47.27272727272727,94.31202236719477
2-GRAM,sap hana,402,172,6,28,61.72081218274111,37.3134328358209,94.26976192493433
2-GRAM,design build,363,213,6,18,47.91150442477876,38.01652892561984,93.85086842328221
2-GRAM,microsoft enterprise,210,133,5,25,59.11274509803921,37.61904761904762,93.77548080996358
2-GRAM,social media,314,152,8,21,45.39344262295082,38.53503184713376,93.74337032957723
3-GRAM,vergabe einer dienstleistungskonzession,248,177,2,3,63.42338709677419,39.91935483870968,93.69753452512073
2-GRAM,red hat,312,82,6,31,58.80730897009967,37.5,93.69460306701687
2-GRAM,microsoft azure,143,75,5,21,64.55244755244755,38.46153846153846,93.4871473354232
2-GRAM,audio video,265,98,5,25,79.11023622047244,33.9622641509434,93.3605354570872
2-GRAM,ris pacs,104,32,2,15,54.69230769230769,56.73076923076923,93.29728035245276
2-GRAM,microsoft lizenzen,208,110,2,4,60.46153846153846,39.42307692307692,93.20281284419215
2-GRAM,open source,153,84,6,17,53.83916083916084,38.56209150326797,93.17709057019403
2-GRAM,vergabe einer,403,247,2,3,48.9727047146402,38.95781637717121,93.17363382190969
2-GRAM,intelligence artificielle,152,115,3,3,49.46376811594203,39.473684210526315,93.09924595441836
2-GRAM,betrieb eines,782,493,2,5,54.13299232736573,37.21227621483376,93.0707277810726
2-GRAM,software solution,124,94,4,15,70.0241935483871,37.096774193548384,93.04732695077523
2-GRAM,microsoft office,237,92,6,19,57.951965065502186,35.44303797468354,93.03521138693553
2-GRAM,installatie onderhoud,164,77,2,2,49.03225806451613,42.073170731707314,92.8566974498009
2-GRAM,windows server,94,27,3,17,59.659574468085104,47.87234042553192,92.74777598915529
2-GRAM,enterprise resource,82,63,4,14,52.3780487804878,43.90243902439025,92.70792171481827
2-GRAM,ict managed,70,66,3,3,49.47142857142857,50.0,92.65513852410405
2-GRAM,etudes techniques,164,122,3,3,70.08888888888889,34.75609756097561,92.6541387782767
2-GRAM,cloud based,134,89,4,12,55.28358208955224,37.3134328358209,92.60089807676016
2-GRAM,operations centre,81,67,4,10,48.46913580246913,44.44444444444444,92.5933406760993
2-GRAM,data warehouse,69,34,3,18,56.69565217391305,50.72463768115942,92.3675336778785
2-GRAM,bereitstellung einer,187,69,2,4,56.026737967914436,38.50267379679144,92.34909768702873
2-GRAM,market consultation,254,81,4,20,46.188976377952756,35.039370078740156,92.28826569516225
2-GRAM,abschluss einer,986,130,2,5,52.78803245436105,35.294117647058826,92.274760654071
2-GRAM,implementierung einer,154,61,2,3,60.79220779220779,38.311688311688314,92.22870456663561
3-GRAM,enterprise resource planning,74,59,4,14,53.189189189189186,43.24324324324324,92.14913157671778
2-GRAM,creative cloud,98,41,5,11,63.89887640449438,38.775510204081634,92.14833516902482
2-GRAM,software licences,77,45,3,5,51.63636363636363,45.45454545454545,92.13069558586798
2-GRAM,center soc,81,45,3,17,60.60493827160494,41.97530864197531,92.117868338558
2-GRAM,dienstleistungen bereich,200,60,2,6,47.74,39.0,92.09941540286368
2-GRAM,logiciel gestion,578,436,4,6,74.66024096385541,29.238754325259517,92.05966279759383
2-GRAM,elaboration schema,368,316,2,2,53.36842105263158,34.78260869565217,92.01979157841227
2-GRAM,software subscription,70,35,4,8,47.52857142857143,48.57142857142857,91.99469626366178
2-GRAM,microsoft unified,153,77,5,17,58.77777777777778,33.98692810457516,91.9636533084809
2-GRAM,palo alto,159,67,4,23,55.911949685534594,34.59119496855346,91.88843514360757
2-GRAM,ter ondersteuning,111,87,2,2,64.46153846153847,37.83783783783784,91.8607303227993
2-GRAM,renouvellement licences,337,132,4,7,72.671875,29.673590504451038,91.80430399051089
2-GRAM,resource planning,86,70,5,19,54.12658227848101,38.372093023255815,91.73388121663984
2-GRAM,gestion securite,95,88,2,2,51.810526315789474,41.05263157894737,91.7178175040244
2-GRAM,hardware software,562,130,6,23,71.91806331471136,28.647686832740213,91.67498093704991
2-GRAM,digital twin,54,38,5,15,48.148936170212764,55.55555555555556,91.64397187155808
2-GRAM,solution gestion,391,266,4,6,64.20670391061452,29.156010230179028,91.50553249173939
3-GRAM,security operations centre,63,54,3,7,54.04761904761905,44.44444444444444,91.40205032618826
2-GRAM,designation bureau,103,73,2,2,59.0,37.86407766990291,91.29621282724732
2-GRAM,software development,80,51,5,16,73.25,36.25,91.27874269253579
2-GRAM,erp system,170,68,3,15,59.12352941176471,32.94117647058823,91.2465474879268
2-GRAM,microsoft dynamics,171,83,7,24,63.432748538011694,30.994152046783626,91.22229941540286
2-GRAM,business central,64,27,4,13,62.0625,45.3125,91.22145217317632
2-GRAM,information systems,60,34,3,10,66.9795918367347,45.0,91.21789375582478
2-GRAM,plateforme numerique,64,57,3,3,55.26315789473684,42.1875,91.2015250360078
2-GRAM,plan gestion,337,262,4,4,47.117283950617285,30.56379821958457,91.19315428280946
2-GRAM,business intelligence,154,56,6,19,57.5,33.116883116883116,91.16160298229264
2-GRAM,einfuhrung einer,207,92,2,4,63.56038647342995,32.367149758454104,91.01357282046936
2-GRAM,einfuhrung eines,306,141,2,4,55.931372549019606,32.02614379084967,90.97881894433618
2-GRAM,bureau etudes,99,78,2,2,70.08695652173913,35.35353535353536,90.96289079047699
2-GRAM,vmware vsphere,155,49,4,14,56.61290322580645,32.903225806451616,90.91908836736422
2-GRAM,mode saas,171,121,3,3,74.66666666666667,29.239766081871345,90.86039142590866
2-GRAM,oracle database,54,28,4,15,59.81481481481482,50.0,90.85296958400407
2-GRAM,revision plan,108,98,2,2,49.05555555555556,37.03703703703704,90.84729306108616
2-GRAM,espaces publicitaires,167,134,2,2,77.11377245508982,31.137724550898202,90.75330000847242
2-GRAM,video surveillance,102,75,4,5,74.66666666666667,31.372549019607842,90.70656612725577
2-GRAM,sap business,59,40,4,12,54.271186440677965,42.3728813559322,90.5754977548081
2-GRAM,licences microsoft,184,128,4,7,70.5031847133758,27.717391304347824,90.49529780564264
2-GRAM,ordinateurs portables,126,76,4,6,53.56190476190476,31.746031746031747,90.46686435651954
2-GRAM,mission etude,216,181,2,2,70.23225806451613,29.62962962962963,90.43002626450902
2-GRAM,solution logicielle,186,139,3,3,74.95,27.419354838709676,90.39947470981954
2-GRAM,crm system,69,46,4,9,56.08695652173913,37.68115942028985,90.39532322290944
2-GRAM,renouvellement licence,195,89,2,2,73.43684210526315,30.256410256410255,90.3948148775735
2-GRAM,check point,117,53,3,19,57.1025641025641,33.333333333333336,90.32061340337202
2-GRAM,outil gestion,154,125,4,7,57.17054263565891,29.22077922077922,90.23324578496991
2-GRAM,managed security,85,59,5,12,45.90588235294118,35.294117647058826,90.22931458103871
2-GRAM,bassins versants,131,88,3,3,46.128,32.06106870229008,90.21155638397016
2-GRAM,warme dranken,89,63,2,2,59.56410256410256,35.95505617977528,90.20599847496399
2-GRAM,adobe lizenzen,77,23,2,4,59.298701298701296,44.15584415584416,90.15880708294502
2-GRAM,wide area,49,43,3,9,46.755102040816325,48.97959183673469,90.14681013301703
2-GRAM,sql server,57,24,3,14,61.666666666666664,45.6140350877193,90.13017029568753
2-GRAM,conception graphique,62,56,2,2,82.0,38.70967741935484,90.12978056426333
2-GRAM,private cloud,57,28,4,12,62.13725490196079,42.10526315789474,90.07716682199441
2-GRAM,etude faisabilite,729,528,3,3,70.09142857142857,24.96570644718793,90.04268406337371
3-GRAM,operations center soc,56,31,2,14,64.85714285714286,46.42857142857143,90.04061679234093
2-GRAM,sans fil,145,106,3,3,50.35820895522388,30.344827586206897,89.9923578751165
2-GRAM,sap hcm,71,36,2,7,62.61971830985915,39.436619718309856,89.9675845124121
2-GRAM,vmware cloud,43,25,3,10,61.116279069767444,60.46511627906977,89.94794543760061
2-GRAM,plateforme gestion,92,84,3,3,63.041666666666664,31.52173913043478,89.92893332203677
2-GRAM,leves topographiques,114,98,2,2,82.0,30.70175438596491,89.87711598746083
2-GRAM,system software,57,42,3,13,55.63157894736842,40.35087719298246,89.85144454799628
2-GRAM,solution informatique,116,95,4,7,66.0204081632653,28.448275862068964,89.74882656951623
2-GRAM,technologies information,157,76,2,2,64.89171974522293,29.936305732484076,89.67659069728035
2-GRAM,etudes prealables,206,147,3,4,69.72164948453609,25.728155339805824,89.6269084131153
2-GRAM,digital platform,48,42,2,6,48.4375,52.083333333333336,89.61040413454208
2-GRAM,systeme gestion,385,282,4,7,50.333333333333336,25.714285714285715,89.59234093027197
2-GRAM,evaluation environnementale,159,131,2,2,49.075471698113205,30.81761006289308,89.52959417097348
2-GRAM,extension systeme,92,80,2,5,62.66304347826087,32.608695652173914,89.47970854867407
2-GRAM,etudes geotechniques,513,396,2,2,70.30409356725146,25.146198830409357,89.4689824620859
2-GRAM,equipements informatiques,172,109,3,3,56.21212121212121,27.325581395348838,89.46044226044226
2-GRAM,adobe creative,74,28,4,9,65.02985074626865,35.13513513513514,89.45944251461492
2-GRAM,etude hydraulique,73,64,2,2,70.16438356164383,34.24657534246575,89.39986444124375
2-GRAM,software assurance,82,38,3,12,69.13414634146342,32.926829268292686,89.3854782682369
3-GRAM,elaboration plan gestion,98,82,2,2,56.6530612244898,32.6530612244898,89.34643734643736
2-GRAM,fibre optique,326,239,3,3,51.53511705685619,25.766871165644172,89.34011691942726
2-GRAM,security operation,65,44,4,13,53.50769230769231,35.38461538461539,89.26632212149453
2-GRAM,systeme videosurveillance,67,57,3,3,56.56603773584906,34.32835820895522,89.18757942895874
2-GRAM,relations presse,196,151,2,2,60.0,27.551020408163264,89.128780818436
2-GRAM,informatique gestion,48,42,2,2,64.72727272727273,43.75,89.08680843853259
2-GRAM,managed detection,54,38,4,10,54.51851851851852,38.888888888888886,89.07957298991784
3-GRAM,adobe creative cloud,73,27,4,9,64.89393939393939,34.24657534246575,89.02377361687707
2-GRAM,adobe acrobat,71,23,3,6,66.49295774647888,36.61971830985915,89.01999491654664
2-GRAM,systeme video,108,86,2,2,68.35185185185185,29.62962962962963,89.01465729051937
2-GRAM,incident response,59,39,4,11,51.45762711864407,37.28813559322034,89.003541472507
2-GRAM,plan local,265,214,2,2,51.43396226415094,27.169811320754718,88.97331186986361
2-GRAM,elaboration plan,593,456,3,3,45.46551724137931,24.78920741989882,88.94087943743116
2-GRAM,etudes environnementales,125,104,2,2,70.096,28.0,88.92491739388291
2-GRAM,renouvellement contrat,592,213,3,3,60.01953818827709,22.466216216216218,88.9204947894603
2-GRAM,solution sauvegarde,55,45,3,3,63.58,36.36363636363637,88.90851478437685
2-GRAM,engineering design,247,50,3,8,74.1336032388664,24.291497975708502,88.90341438617301
2-GRAM,help desk,54,24,3,9,47.666666666666664,44.44444444444444,88.89273913411844
2-GRAM,mission etudes,182,133,3,4,65.55029585798816,24.175824175824175,88.86781326781326
2-GRAM,etude impact,146,126,2,2,70.0,26.71232876712329,88.82279081589425
2-GRAM,artificial intelligence,81,52,4,14,45.888888888888886,32.098765432098766,88.79645852749302
2-GRAM,securite information,94,58,3,3,63.641975308641975,28.72340425531915,88.75399474709818
2-GRAM,etudes faisabilite,160,128,2,2,70.15,26.25,88.69843260188088
2-GRAM,einer digitalen,95,32,2,3,54.09473684210526,33.68421052631579,88.62495975599424
2-GRAM,licences adobe,129,76,2,2,73.25,27.131782945736433,88.59791578412268
