Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status
Geotechnical investigations & studies,FIELD_SUBCONTRACT,1180,716,7,12,70.0,22.88135593220339,0.28,0.99,0.38,0.34,0.44,0.86,440,93,37.28813559322034,100.0,100.0,83.33333333333334,10.0,73.33333333333333,79.56666666666666,68.91333333333334,52.705000000000005,83.038,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Procurement / e-sourcing platforms,PROCUREMENT_TECH,1031,253,7,28,20.0,37.73035887487876,0.72,0.86,0.99,0.5,0.6,0.9,769,36,74.58777885548011,96.66666666666667,90.0,96.66666666666667,66.66666666666666,20.0,79.4,82.51666666666667,79.38,80.02799999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Call center / contact center services & platforms,CONTACT_CENTER,526,266,9,32,20.0,35.17110266159696,0.78,0.96,0.95,0.72,0.68,0.84,244,14,46.38783269961977,93.33333333333333,93.33333333333333,90.0,56.666666666666664,20.0,75.96666666666667,85.72333333333333,79.635,83.986,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Backup / disaster recovery / storage,INFRA_RESALE,418,165,9,45,60.0,39.23444976076555,0.38,0.96,0.88,0.62,0.68,0.8,144,17,34.44976076555024,86.66666666666667,66.66666666666666,80.0,76.66666666666667,46.666666666666664,73.76666666666667,75.80666666666667,61.595,81.662,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
LMS / e-learning platforms,LEARNING_TECH,321,214,9,26,60.0,38.940809968847354,0.82,0.9,0.99,0.68,0.72,0.9,70,13,21.806853582554517,80.0,86.66666666666667,56.666666666666664,73.33333333333333,46.666666666666664,71.66666666666666,77.64333333333333,79.9,80.1,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Topographic / land surveying services,FIELD_SUBCONTRACT,439,339,7,12,82.0,29.157175398633257,0.3,0.99,0.34,0.48,0.5,0.84,62,13,14.123006833712983,90.0,96.66666666666667,26.666666666666668,30.0,96.66666666666667,71.13333333333334,61.29333333333333,49.11000000000001,80.696,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Market research / surveys / data collection,RESEARCH_SERVICES,267,204,8,16,70.0,34.831460674157306,0.92,0.96,0.96,0.84,0.82,0.88,40,12,14.9812734082397,76.66666666666667,83.33333333333334,43.333333333333336,53.333333333333336,73.33333333333333,68.80000000000001,78.34666666666666,82.16,82.57600000000001,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Asset management software,ASSET_SOFTWARE,241,185,9,22,40.0,42.738589211618255,0.72,0.88,0.98,0.6,0.66,0.88,36,9,14.937759336099585,66.66666666666666,80.0,40.0,83.33333333333334,43.333333333333336,64.53333333333333,68.8,72.54,75.344,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
E-government / electronic administration platforms,GOVTECH,321,33,1,2,60.0,31.775700934579437,0.78,0.86,0.99,0.52,0.62,0.9,289,3,90.03115264797508,80.0,10.0,100.0,43.333333333333336,46.666666666666664,62.63333333333333,66.78999999999999,74.235,73.18599999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Telephony / VoIP / unified communications,TELECOM_RESALE,242,127,9,30,20.0,35.9504132231405,0.28,0.97,0.78,0.64,0.68,0.78,64,11,26.446280991735538,73.33333333333333,53.333333333333336,76.66666666666667,60.0,20.0,61.133333333333326,68.88000000000001,50.41,76.73599999999999,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
Document management / ECM / GED,DOCUMENT_SOFTWARE,155,72,7,21,60.0,29.677419354838708,0.86,0.9,0.99,0.7,0.76,0.9,79,5,50.96774193548387,43.333333333333336,36.666666666666664,93.33333333333333,33.33333333333333,46.666666666666664,56.00000000000001,66.55,74.45,73.72,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
HR / workforce / time management software,HR_SOFTWARE,163,135,9,15,72.0,38.036809815950924,0.78,0.9,0.99,0.68,0.72,0.9,14,4,8.588957055214724,46.666666666666664,56.666666666666664,20.0,70.0,83.33333333333334,56.0,60.07666666666667,71.25,73.52,OPEN_WORLD_WAVE2_EMPIRICAL_PLUS_EXPLICIT_HEURISTICS,DERIVED
