Niche,Currency,Known_Value_Awards,P10_Award_Value,P25_Award_Value,Median_Award_Value,P75_Award_Value,P90_Award_Value
AI chatbot / assistant,EUR,25,115.0,62997.11750000001,209375.0,928762.5,3896495.696492118
AI chatbot / assistant,RON,7,1902112.0011532307,1990560.0,1990560.0,10318535.6675,10372380.89
AI chatbot / assistant,GBP,5,9928.000075042248,17482.0,38586.0,166206.25,249999.98668134212
AI chatbot / assistant,PLN,4,116900.0,137950.0,1726958.925,7792315.515,12289713.18
AI chatbot / assistant,CZK,3,1528500.0,2623000.0,5906500.0,5976625.0,6000000.0
AI chatbot / assistant,NOK,3,1350000.0,2812500.0,7200000.0,7200000.0,7200000.0
AI chatbot / assistant,CAD,3,29800.0,32665.75,41263.0,41263.0,41263.0
AI chatbot / assistant,CHF,1,677381.63,677381.63,677381.63,677381.63,677381.63
Animation / motion design,CAD,8,57024.500045478344,59695.0,93250.0,98000.0,98000.0
Animation / motion design,BGN,2,100000.0,100000.0,150000.0,200000.0,200000.0
Animation / motion design,EUR,2,350000.0,350000.0,575000.0,800000.0,800000.0
Annual report / publication layout,EUR,8,1231.3090488535165,9050.0,55667.0,1000568.97,1531092.9058379172
Annual report / publication layout,CAD,8,26405.35802715659,35400.0,75000.0,85500.0,343373.9797348976
Annual report / publication layout,GBP,3,12950.0,16355.0,26570.0,171029.75,219183.0
Annual report / publication layout,NOK,2,5000000.0,5000000.0,22500000.0,40000000.0,40000000.0
Annual report / publication layout,CHF,1,201000.0,201000.0,201000.0,201000.0,201000.0
Brand identity / visual identity,EUR,127,82.00000189244747,88607.125,400000.0,861365.625,6837999.212741852
Brand identity / visual identity,GBP,10,5408.000161141157,13190.75,18369.2,32517.5,47936.499016046524
Brand identity / visual identity,CAD,8,25022.522000497578,25051.74,33069.145000000004,58964.0,106030.0163697815
Brand identity / visual identity,NOK,5,601800.0402197242,4650450.0,10000000.0,43000000.0,63999996.66213989
Brand identity / visual identity,CHF,3,179961.0,268845.75,535500.0,802125.0,891000.0
Brand identity / visual identity,DKK,3,540000.0,1000669.375,2382677.5,5095669.375,6000000.0
Brand identity / visual identity,RON,2,1897500.0,1897500.0,4698750.0,7500000.0,7500000.0
Brand identity / visual identity,CZK,2,318480.0,318480.0,5159240.0,10000000.0,10000000.0
Brand identity / visual identity,PLN,1,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0
Brochure / flyer / poster printing,RON,4902,859.6204714911612,4088.3632899225518,41365.978257581024,451913.3221766582,5782037.033216357
Brochure / flyer / poster printing,EUR,1978,232.16975941057697,21448.28365659341,205079.09452015214,653907.971843251,1996319.201598067
Brochure / flyer / poster printing,CAD,745,26039.011577045087,32826.030375,50465.352148760336,115105.37476900582,374512.15738463745
Brochure / flyer / poster printing,GBP,132,18500.00098347664,55416.39,213748.0,740985.5,8949995.279312134
Brochure / flyer / poster printing,NOK,87,155680.0036817789,2145750.0,4000000.0,10750000.0,62799966.81213379
Brochure / flyer / poster printing,PLN,87,12268.02407822743,25457.895,63859.21,488695.12249999994,2974790.0
Brochure / flyer / poster printing,CZK,87,149370.00445313752,391896.91000000003,2048100.0,8436500.0,21655995.70631981
Brochure / flyer / poster printing,SEK,51,470912.00045749545,2000000.0,6500000.0,16000000.0,33699987.23268509
Brochure / flyer / poster printing,DKK,46,1020017.8137212694,2496268.66,8534413.585,51665724.4,829348923.6314964
Brochure / flyer / poster printing,HUF,45,15453504.029957056,28000000.0,64000000.0,130161111.0,427999969.95925903
Brochure / flyer / poster printing,CHF,37,104305.20115815103,254070.685,758402.44,3343608.975,22561837.868277732
Brochure / flyer / poster printing,BGN,31,44168.23601152115,52716.8625,82500.0,174075.0,607251.1866016388
Brochure / flyer / poster printing,USD,1,94251.76,94251.76,94251.76,94251.76,94251.76
Brochure / flyer / poster printing,MKD,1,72984000.0,72984000.0,72984000.0,72984000.0,72984000.0
CMS development / migration,EUR,66,51316.00080251694,130000.0,247898.5,600000.0,989999.8426437378
CMS development / migration,CAD,23,37809.6323045826,46575.0,72900.0,376773.08,1452470.817053238
CMS development / migration,GBP,15,42000.000167502614,60973.545,136573.06,340000.0,64999977.34749317
CMS development / migration,CZK,3,112000.0,364925.0,1123700.0,33610925.0,44440000.0
CMS development / migration,CHF,2,720000.0,720000.0,1388038.0,2056076.0,2056076.0
CMS development / migration,SEK,2,2200000.0,2200000.0,3600000.0,5000000.0,5000000.0
CMS development / migration,PLN,1,1969157.43,1969157.43,1969157.43,1969157.43,1969157.43
Cataloguing / indexing / metadata,CAD,5,132980.09313433937,448493.0225,701932.34,2004638.0,2004638.0
Cataloguing / indexing / metadata,EUR,3,1565.37,52931.4025,207029.5,351757.375,400000.0
Cataloguing / indexing / metadata,NOK,1,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Copywriting / editorial content,CAD,294,26525.900044247508,34561.07571428571,49164.59,86492.39285714286,127335.56055829106
Copywriting / editorial content,EUR,79,3736.000172458589,43163.125,150000.0,487500.0,1077509.7252905369
Copywriting / editorial content,GBP,15,18620.000187307596,38562.325,140000.0,223500.0,434239.94483947754
Copywriting / editorial content,CHF,7,779166.0063867085,1403183.7125,1946272.95,5700769.124999999,8507837.38800723
Copywriting / editorial content,CZK,6,214760.00436842442,654500.0,2360625.0,5128500.0,9499529.305243492
Copywriting / editorial content,PLN,4,287000.0,461064.0,635128.0,959289.0,1283450.0
Copywriting / editorial content,XOF,2,681114000.0,681114000.0,716757000.0,752400000.0,752400000.0
Copywriting / editorial content,NOK,1,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
Copywriting / editorial content,SEK,1,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
Data cleaning / deduplication,GBP,10,1.0,1.0,16650.5,269496.0,1300271.866683173
Data cleaning / deduplication,EUR,9,326680.00257760286,454535.725,685000.0,1200000.0,3959999.0129470825
Data cleaning / deduplication,NOK,7,1120000.0271201134,3400000.0,8185113.0,36250000.0,93861928.7635237
Data cleaning / deduplication,CZK,3,8296458.0,8553958.0,9326458.0,15560153.5,17638052.0
Data cleaning / deduplication,CHF,3,632385.0,656788.75,730000.0,547682500.0,730000000.0
Data cleaning / deduplication,DKK,2,4000000.0,4000000.0,4005332.0,4010664.0,4010664.0
Data cleaning / deduplication,SEK,1,2261000.0,2261000.0,2261000.0,2261000.0,2261000.0
Data entry / back-office processing,EUR,20,53690.5612701416,277062.5,714734.6499999999,1281465.9049999998,2191028.432261944
Data entry / back-office processing,NOK,15,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0
Data entry / back-office processing,CAD,11,28726.200101822615,35888.25,67780.73,338593.87,2105041.7969135796
Data entry / back-office processing,GBP,3,69321.6,139491.2,350000.0,431000.0,458000.0
Desk research / information collection,CZK,12,352100.0016629696,527400.0,751700.0,3827800.0,19562199.555397034
Desk research / information collection,CAD,5,27594.0000089854,28498.5,28800.0,29397.5,31189.999715089798
Desk research / information collection,GBP,5,206000.0,206000.0,231000.0,418750.0,624999.9672174454
Desk research / information collection,PLN,3,64200.0,102577.5,217710.0,240311.25,247845.0
Desk research / information collection,EUR,2,132000.0,132000.0,217500.0,303000.0,303000.0
Desk research / information collection,USD,1,481792.0,481792.0,481792.0,481792.0,481792.0
Desk research / information collection,DKK,1,48907825.0,48907825.0,48907825.0,48907825.0,48907825.0
Digital marketing / SEO / campaigns,EUR,161,16548.000331074,94995.625,469725.25,1821581.25,4736301.240349349
Digital marketing / SEO / campaigns,CHF,53,144840.00472277403,240000.0,523500.0,2527634.5,7834137.8716778755
Digital marketing / SEO / campaigns,RON,44,377594.0775706273,855209.77,32154423.884999998,52771509.05,478291063.8
Digital marketing / SEO / campaigns,GBP,27,39800.000010058284,42787.5,125000.0,353181.0,929999.6137619019
Digital marketing / SEO / campaigns,PLN,18,127237.50118352473,324000.0,724500.0,2673307.32,807386990.3338594
Digital marketing / SEO / campaigns,CAD,17,32949.24837355137,47872.5,68040.0,99250.0,231119.9364066124
Digital marketing / SEO / campaigns,USD,3,15664.0,15664.0,15664.0,129736.0,167760.0
Digital marketing / SEO / campaigns,CZK,2,1.0,1.0,1000000.5,2000000.0,2000000.0
Digital marketing / SEO / campaigns,SEK,2,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0
Digital marketing / SEO / campaigns,NOK,2,900000.0,900000.0,1410000.0,1920000.0,1920000.0
Digital marketing / SEO / campaigns,DKK,1,17598761.9,17598761.9,17598761.9,17598761.9,17598761.9
Direct mail / envelope / routing,EUR,12,180895.26952291667,330000.0,567707.5,1967545.3399999999,3195019.3136473894
Direct mail / envelope / routing,CAD,12,11025.0,34914.5,183225.0,1362250.0,2398345.84
Direct mail / envelope / routing,GBP,4,41980.53,42040.095,51049.83,136695.0,213390.0
Direct mail / envelope / routing,USD,1,33600.0,33600.0,33600.0,33600.0,33600.0
Document digitization / scanning,EUR,1815,1.0,366.3864401515151,219189.48907848322,609824.1654730904,1892111.4652496835
Document digitization / scanning,RON,979,20582.74677573034,57122.93175000001,204455.93973333333,771702.6260869565,1881515.0552346937
Document digitization / scanning,CAD,691,18111.038200167168,31674.04787037037,63908.742999999995,140346.92453703703,628899.0812092737
Document digitization / scanning,NOK,235,137656.25229803845,2120729.1666666665,4939444.444444444,6746369.5,35377026.77511382
Document digitization / scanning,SEK,129,115500.0,877342.0,2481250.0,7348573.75,30000000.0
Document digitization / scanning,CHF,119,323655.731468321,708524.25,1437185.0,3365462.1225,10923859.31768918
Document digitization / scanning,GBP,109,27375.000710599124,67500.0,311309.0,2893823.75,89999935.0309372
Document digitization / scanning,DKK,79,1375757.4037753716,2946909.0,10622354.09,21024335.25,60055669.43202019
Document digitization / scanning,CZK,46,234960.00031530857,348000.0,1388036.25,4685000.0,25875173.553079367
Document digitization / scanning,HUF,44,6412583.358562499,10773803.5,41537952.0,183751912.0,401691451.20314693
Document digitization / scanning,PLN,30,3185.7000120967627,30295.6,577020.405,1440000.0,8486728.25
Document digitization / scanning,MKD,9,50244.20061507076,90771.5,510384.0,932232.0,4581215.983723998
Document digitization / scanning,BGN,6,73362.00017362833,90840.0,197581.33,424383.5,859390.7808574438
Document digitization / scanning,USD,4,280597.0,337798.5,712500.0,1107271.0,1184542.0
Document digitization / scanning,USN,2,42000.0,42000.0,229733.5,417467.0,417467.0
Document digitization / scanning,UAH,2,15120000.0,15120000.0,23470000.0,31820000.0,31820000.0
Document digitization / scanning,MDL,1,3966665.0,3966665.0,3966665.0,3966665.0,3966665.0
Document digitization / scanning,ISK,1,47150633.0,47150633.0,47150633.0,47150633.0,47150633.0
E-learning / training content,EUR,89,40627.00005205348,87859.945,223171.77,517750.0,1500000.0
E-learning / training content,GBP,62,27100.0002771616,40000.0,113650.0,264000.0,516686.8926978111
E-learning / training content,CAD,55,28750.0,34275.0,46700.0,92925.0,108261.56
E-learning / training content,RON,55,8611.65003164746,15330.3,45310.7,522229.75,2998788.512680739
E-learning / training content,NOK,16,1006250.0104308128,2057500.0,4484500.0,13000000.0,15000000.0
E-learning / training content,CZK,15,20790.000163257122,28094.0,42543.0,176947.45,237942.75345907212
E-learning / training content,HUF,11,11345000.0,28210000.0,86160000.0,177550000.0,216650533.04633617
E-learning / training content,BGN,6,24946.665026358514,27600.0,47270.0,194924.04,203056.54670737268
E-learning / training content,CHF,6,2154480.005121231,2670000.0,5540100.0,6183200.0,10019274.070272349
E-learning / training content,PLN,6,76290.0000974536,86100.0,374550.0,640501.64,1824179.9758593654
E-learning / training content,USN,2,151736.0,151736.0,151736.0,151736.0,151736.0
Event audiovisual / livestream,EUR,3,173200.0,198549.0,274596.0,3818649.0,5000000.0
Event audiovisual / livestream,BGN,2,70000.0,70000.0,70000.0,70000.0,70000.0
Event audiovisual / livestream,NOK,2,8000000.0,8000000.0,31500000.0,55000000.0,55000000.0
Event audiovisual / livestream,GBP,1,156000.0,156000.0,156000.0,156000.0,156000.0
Graphic design / layout,EUR,136,1852.2560323357582,47499.5,226000.0,639750.0,3115687.1821617316
Graphic design / layout,CAD,71,26102.448010963875,31553.4525,45000.0,94820.84499999999,171312.75
Graphic design / layout,CZK,51,71632.00231179595,190737.5,489780.0,1513575.025,6094768.039852381
Graphic design / layout,GBP,23,86588.0022983253,105875.8325,500000.0,1500000.0,29000000.0
Graphic design / layout,RON,17,16560.000197589397,47700.0,65500.0,105800.0,254900.0
Graphic design / layout,NOK,16,2550000.011920929,3500000.0,5500000.0,24250000.0,32500000.0
Graphic design / layout,PLN,7,439724.7451209695,2451067.7225,5023333.33,6128400.0,7923457.401521766
Graphic design / layout,HUF,3,33172806.0,33172806.0,33172806.0,451580701.5,591050000.0
Graphic design / layout,DKK,2,1737140.0,1737140.0,3003017.38,4268894.76,4268894.76
Illustration / infographics,CAD,47,26389.71,29772.0025,37800.0,58484.912500000006,83229.8114069748
Illustration / infographics,RON,34,181590.0,259914.08,366320.945,619132.57,1074534.0
Illustration / infographics,SEK,12,5908.000007867813,8050.0,16150.0,24575.0,27100.0
Illustration / infographics,EUR,11,11065.000300575048,99250.0,350000.0,520087.5,1341454.4748038054
Illustration / infographics,GBP,2,50000.0,50000.0,70000.0,90000.0,90000.0
Illustration / infographics,PLN,1,184789.0,184789.0,184789.0,184789.0,184789.0
Illustration / infographics,NOK,1,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0
Interpretation services,EUR,35,23800.00026077032,61156.25,228700.0,678750.0,15359997.446537018
Interpretation services,SEK,18,43718.90006364882,1000000.0,2125000.0,8000000.0,16000000.0
Interpretation services,GBP,6,10992.000070810318,18120.0,28074.0,45600.0,50639.999198913574
Interpretation services,CHF,2,581253.7,581253.7,1149434.35,1717615.0,1717615.0
Labels / stickers / QR materials,GBP,30,13850.000013411045,28000.0,145235.91,209280.0,300999.9556541443
Labels / stickers / QR materials,EUR,16,5900.001168251038,175106.0,304000.0,417217.0,1170499.7158050537
Labels / stickers / QR materials,NOK,13,1840000.2445544526,6375000.0,12000000.0,19250000.0,97772690.16555536
Labels / stickers / QR materials,CHF,6,136635.41246677487,384949.1,3982004.9250000003,7102853.25,22270065.379236177
Labels / stickers / QR materials,CAD,5,24712.610047445596,29488.640000000003,56443.5,262643.41000000003,786705.9167024946
Labels / stickers / QR materials,DKK,2,4700000.0,4700000.0,37314080.0,69928160.0,69928160.0
Labels / stickers / QR materials,ISK,1,87000000.0,87000000.0,87000000.0,87000000.0,87000000.0
Low-code / no-code implementation,EUR,62,151977.03316055686,243302.62,527106.15,1143312.06,3342932.5161658144
Low-code / no-code implementation,CAD,13,37740.00002518296,62635.6925,85550.0,344079.58,772046.132776456
Low-code / no-code implementation,PLN,13,554693.8024414107,859780.0,1565430.74,6453072.0,10390643.540717363
Low-code / no-code implementation,GBP,6,19043.52300389126,19435.23,117983.915,831592.8,7283158.254551125
Low-code / no-code implementation,CZK,5,1500.0275559723377,2775375.0,7806250.0,8840000.0,8840000.0
Low-code / no-code implementation,RON,2,4340000.0,4340000.0,7140000.0,9940000.0,9940000.0
Low-code / no-code implementation,CHF,2,907200.0,907200.0,1649748.0,2392296.0,2392296.0
Low-code / no-code implementation,NOK,1,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0
Microsites / campaign landing pages,EUR,2,155004.0,155004.0,231474.5,307945.0,307945.0
Microsites / campaign landing pages,CAD,2,75000.0,75000.0,75000.0,75000.0,75000.0
Microsites / campaign landing pages,CZK,1,7900000.0,7900000.0,7900000.0,7900000.0,7900000.0
Microsites / campaign landing pages,PLN,1,2845528.46,2845528.46,2845528.46,2845528.46,2845528.46
Newsletter / magazine production,EUR,10,50500.00004470348,72800.0,120500.0,168599.92,439126.0
Newsletter / magazine production,CAD,2,55700.0,55700.0,74886.5,94073.0,94073.0
Newsletter / magazine production,GBP,2,64050.0,64050.0,79215.0,94380.0,94380.0
Newsletter / magazine production,NOK,1,24000000.0,24000000.0,24000000.0,24000000.0,24000000.0
Newsletter / magazine production,CZK,1,371250.0,371250.0,371250.0,371250.0,371250.0
Newsletter / magazine production,CHF,1,1202092.55,1202092.55,1202092.55,1202092.55,1202092.55
Office / presentation equipment supply,EUR,63,0.01,0.01,0.01,4800.0025,201429.83905673027
Office / presentation equipment supply,GBP,22,29089.086720002593,50000.0,400000.0,500000.0,29551260.9143039
Office / presentation equipment supply,CAD,7,74383.95008289628,80741.75,433925.65,6065625.0,7885499.833524227
Office / presentation equipment supply,NOK,1,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0
Online forms / lightweight portals,PLN,955,10324.855816924222,46841.72549242424,262370.97066009854,1067810.5569307695,3112488.050240988
Online forms / lightweight portals,EUR,487,45111.6874548003,144442.87541666665,328824.78857142857,727494.4235416666,3363860.13840962
Online forms / lightweight portals,RON,214,59994.001645445824,109300.0,351515.0,1403245.4375,2787363.052335922
Online forms / lightweight portals,GBP,104,15915.800130486488,43301.59,165833.33500000002,666048.865,2235865.0
Online forms / lightweight portals,NOK,52,1282975.0043973327,2500000.0,5400000.0,17750000.0,50554041.61036444
Online forms / lightweight portals,BGN,33,36679.80071798712,65842.135,129999.0,431675.0,1063333.2427653526
Online forms / lightweight portals,HUF,26,5857913.320709765,12483932.0,181944861.0,2699000000.0,4253686507.4365864
Online forms / lightweight portals,ISK,24,1.0,449000.5,62850966.5,174564948.5,1017532635.5303383
Online forms / lightweight portals,DKK,24,722600.0065803528,1058000.0,4262600.0,14858929.0,56385841.04244709
Online forms / lightweight portals,CHF,20,565092.753108874,783963.275,2561806.715,11296501.425,160861529.23079476
Online forms / lightweight portals,CAD,19,27900.0,28727.65,48000.0,186608.0,392518.0
Online forms / lightweight portals,SEK,12,1586075.0246718526,3800000.0,12000000.0,15000000.0,63415560.02061367
Online forms / lightweight portals,CZK,4,5144060.34,7705820.17,12596390.0,19912000.0,24898800.0
Online forms / lightweight portals,USD,1,600000.0,600000.0,600000.0,600000.0,600000.0
Online survey setup,GBP,9,10724.39802316986,13065.25,29166.67,122700.0,463061.8988764286
Online survey setup,EUR,5,56700.00107511878,164925.0,272323.0,760875.0,1152599.937736988
Online survey setup,CAD,2,80004.0,80004.0,123375.775,166747.55,166747.55
Photography,CAD,33,6600.0,26000.0,38530.0,123438.1875,400434.43736673833
Photography,GBP,26,13993.774086363614,35000.0,120000.0,300000.0,1128474.9425926208
Photography,EUR,26,25181.500953659415,79850.75,142923.0,220000.0,417999.9876022339
Photography,NOK,5,2800000.0089406967,3700000.0,4000000.0,8000000.0,19999998.092651367
Presentation / template design,EUR,56,6303.600003004074,9180.0,15360.0,37632.0,1800000.0
Presentation / template design,RON,3,2776872.55,2776872.55,2776872.55,6942181.375000001,8330617.65
Presentation / template design,BGN,2,79959.0,79959.0,188104.42,296249.84,296249.84
Presentation / template design,HUF,2,3120000.0,3120000.0,15240000.0,27360000.0,27360000.0
Presentation / template design,PLN,2,116344.51,116344.51,287108.43,457872.35,457872.35
Presentation / template design,CAD,1,99999.0,99999.0,99999.0,99999.0,99999.0
Presentation / template design,SEK,1,4981600.0,4981600.0,4981600.0,4981600.0,4981600.0
Presentation / template design,NOK,1,500000.0,500000.0,500000.0,500000.0,500000.0
Presentation / template design,DKK,1,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0
Presentation / template design,CHF,1,430562.3,430562.3,430562.3,430562.3,430562.3
Promotional merchandise / branded items,EUR,33,94000.00147521496,200000.0,400000.0,746000.0,2000000.0
Promotional merchandise / branded items,GBP,19,53890.44170390219,185000.0,567000.0,1950000.0,1950000.0
Promotional merchandise / branded items,CAD,2,55300.0,55300.0,55300.0,55300.0,55300.0
Promotional merchandise / branded items,DKK,2,336520.79,336520.79,826677.395,1316834.0,1316834.0
Promotional merchandise / branded items,NOK,1,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0
Proofreading / editing,CAD,95,25000.0,30000.0,41400.0,79500.0,104400.0
Proofreading / editing,NOK,12,2450001.2625848055,10000000.0,13500000.0,20000000.0,20000000.0
Proofreading / editing,EUR,10,70942.00062412024,98000.0,270000.0,408499.5,1999999.761581421
Proofreading / editing,CZK,5,2000.0297874212265,3000500.0,4000000.0,4000000.0,4000000.0
Proofreading / editing,GBP,1,24750.0,24750.0,24750.0,24750.0,24750.0
Proofreading / editing,SEK,1,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0
