Niche,Matched_Tenders,Award_Count,Tenders_With_Award,Tender_Award_Linkage_Pct,Award_Value_Coverage_Pct,Bidder_Count_Coverage_Pct,Median_Bidder_Count,Single_Bid_Share_Pct,Competition_Opportunity_Score
Cataloguing / indexing / metadata,27,14,11,40.74074074074074,64.28571428571429,50.0,1.0,100.0,100.0
Copywriting / editorial content,1140,483,399,35.0,84.67908902691511,71.2215320910973,1.0,79.65116279069767,93.8953488372093
Workflow automation / RPA,587,642,443,75.46848381601363,90.34267912772586,87.07165109034268,1.0,69.23076923076923,90.76923076923077
Web accessibility remediation,112,143,68,60.714285714285715,61.53846153846154,55.94405594405595,1.0,66.25,89.875
Video production,123,126,78,63.41463414634146,60.317460317460316,47.61904761904762,1.0,61.66666666666667,88.5
Annual report / publication layout,52,27,23,44.23076923076923,81.48148148148148,48.148148148148145,1.0,61.53846153846154,88.46153846153845
Translation / localization,457,158,140,30.63457330415755,72.15189873417721,48.734177215189874,1.0,61.038961038961034,88.31168831168831
Video editing / post-production,37,27,17,45.945945945945944,81.48148148148148,88.88888888888889,1.0,54.166666666666664,86.25
Signage / wayfinding / vinyl,3197,1487,1245,38.94275883640913,80.09414929388029,61.26429051782112,1.0,53.238199780461024,85.97145993413831
Web hosting / domain / SSL,1030,664,548,53.20388349514563,77.71084337349397,46.536144578313255,1.0,51.1326860841424,85.33980582524272
Website maintenance / content updates,220,112,97,44.09090909090909,66.07142857142857,42.857142857142854,1.0,50.0,85.0
Transcription / minutes,16816,7862,2805,16.680542340627973,73.03485118290511,67.08216738743322,1.0,47.95221843003413,84.38566552901024
Direct mail / envelope / routing,88,39,37,42.04545454545455,74.35897435897436,30.76923076923077,1.5,50.0,79.75
Microsites / campaign landing pages,12,10,7,58.333333333333336,60.0,60.0,2.0,50.0,74.5
Data cleaning / deduplication,68,42,34,50.0,83.33333333333333,45.23809523809524,2.0,47.368421052631575,73.71052631578947
Simple API / software integration,330,326,203,61.515151515151516,85.58282208588957,51.84049079754601,2.0,46.15384615384615,73.34615384615384
E-learning / training content,613,395,269,43.882544861337685,81.77215189873418,70.63291139240506,2.0,44.086021505376344,72.7258064516129
Online forms / lightweight portals,1882,2563,1139,60.52072263549415,77.05813499804916,62.465860319937576,2.0,43.660212367270454,72.59806371018112
Promotional merchandise / branded items,174,97,73,41.95402298850575,58.76288659793814,52.577319587628864,2.0,43.13725490196079,72.44117647058823
Small IT equipment supply,4607,13532,3087,67.00672889081832,75.57641146911025,61.12178539757612,2.0,39.54781767621811,71.36434530286543
Social media content production,319,178,143,44.827586206896555,78.65168539325843,60.674157303370784,2.0,37.96296296296296,70.88888888888889
Document digitization / scanning,8091,6667,3673,45.39611914472871,64.51177441127943,61.93190340482976,2.0,37.03075805279729,70.60922741583917
Low-code / no-code implementation,179,112,100,55.865921787709496,92.85714285714286,67.85714285714286,2.0,36.84210526315789,70.55263157894736
Animation / motion design,21,14,10,47.61904761904762,85.71428571428571,71.42857142857143,2.0,30.0,68.5
AI chatbot / assistant,139,84,66,47.48201438848921,60.714285714285715,60.714285714285715,2.0,29.411764705882355,68.3235294117647
Graphic design / layout,664,465,284,42.7710843373494,70.10752688172043,53.54838709677419,3.0,34.53815261044177,59.36144578313253
Brochure / flyer / poster printing,8454,11910,3908,46.226638277738346,69.10159529806884,56.16288832913518,3.0,29.86993571535357,57.96098071460607
Photography,195,117,95,48.717948717948715,76.92307692307692,64.95726495726495,3.0,27.631578947368425,57.28947368421053
CMS development / migration,259,144,108,41.6988416988417,77.77777777777777,65.27777777777777,3.0,26.595744680851062,56.97872340425532
Website design / redesign,8599,5305,3480,40.46982207233399,79.96229971724787,48.50141376060321,3.0,23.241352506801398,55.972405752040416
Newsletter / magazine production,47,19,15,31.914893617021278,89.47368421052632,57.89473684210526,3.0,18.181818181818183,54.45454545454545
Labels / stickers / QR materials,237,99,86,36.28691983122363,73.73737373737374,51.515151515151516,3.0,15.686274509803921,53.705882352941174
Presentation / template design,65,76,30,46.15384615384615,92.10526315789474,80.26315789473684,3.0,9.836065573770492,51.950819672131146
Survey data processing / coding,11,3,3,27.272727272727273,66.66666666666667,0.0,,,50.0
Event communication materials,1,1,1,100.0,0.0,0.0,,,50.0
Document conversion / PDF remediation,1,0,0,0.0,,,,,50.0
Illustration / infographics,111,125,59,53.153153153153156,86.4,82.4,4.0,36.89320388349515,49.567961165048544
Desk research / information collection,43,41,21,48.83720930232558,70.73170731707317,60.97560975609756,4.0,36.0,49.3
Subtitles / captions,22,10,6,27.272727272727273,100.0,10.0,3.0,0.0,49.0
Proofreading / editing,132,134,68,51.515151515151516,92.53731343283582,92.53731343283582,4.0,33.87096774193548,48.66129032258064
Digital marketing / SEO / campaigns,513,414,225,43.85964912280702,79.71014492753623,52.89855072463768,4.0,25.11415525114155,46.034246575342465
Voice-over / narration / audio editing,51,37,23,45.09803921568628,83.78378378378379,62.16216216216216,4.0,21.73913043478261,45.02173913043478
Brand identity / visual identity,501,201,159,31.736526946107784,80.09950248756219,34.82587064676617,4.0,20.0,44.5
Event audiovisual / livestream,35,12,11,31.428571428571427,66.66666666666667,83.33333333333333,4.5,20.0,39.25
Online survey setup,48,21,21,43.75,76.19047619047619,19.047619047619047,4.5,0.0,33.25
Interpretation services,235,100,82,34.8936170212766,61.0,34.0,7.0,2.941176470588235,7.88235294117647
Office / presentation equipment supply,99,115,51,51.515151515151516,80.8695652173913,76.52173913043478,13.0,11.363636363636363,0.0
Data entry / back-office processing,90,65,45,50.0,75.38461538461539,61.53846153846154,9.0,27.500000000000004,0.0
