Niche,Observed_Suppliers,Top_Supplier_Share_Pct,Supplier_HHI,Supplier_Fragmentation_Score
Signage / wayfinding / vinyl,879,1.9607843137254908,0.0029239882681467563,98.87340842972992
Brand identity / visual identity,170,3.7433155080213902,0.008868172127058573,97.68493363963637
Video production,97,3.361344537815126,0.013511286867688255,97.64376338770802
Office / presentation equipment supply,76,2.941176470588235,0.018353517877739325,97.61173587081892
Workflow automation / RPA,224,4.462809917355372,0.011679985429046304,97.18459576986999
Web hosting / domain / SSL,387,4.991680532445924,0.008389096375702173,97.08470491499193
Photography,115,4.71698113207547,0.014778390886436432,96.90258988964044
E-learning / training content,236,4.972375690607735,0.012369848634385755,96.89531972297684
Document digitization / scanning,2372,6.266161802733657,0.007968811803187061,96.46847850847382
Graphic design / layout,293,6.483790523690774,0.013593689231131275,96.07842027659805
Transcription / minutes,2133,6.7252553533468165,0.011580386905140067,96.05835297806959
Proofreading / editing,76,6.0606060606060606,0.022449877563513913,95.84720309152127
Website maintenance / content updates,83,6.593406593406594,0.0183525875833568,95.78566732412887
Social media content production,101,6.622516556291391,0.023077935178281637,95.53484496294023
Labels / stickers / QR materials,64,7.777777777777778,0.023950617283950634,94.91358024691358
Copywriting / editorial content,316,9.069767441860465,0.011840544438435246,94.87308905714801
Direct mail / envelope / routing,25,6.666666666666667,0.044444444444444446,94.44444444444444
Brochure / flyer / poster printing,2439,9.40591161837871,0.019074885352108953,94.3432999232052
Interpretation services,68,9.859154929577464,0.0246875619916683,93.83604443562785
AI chatbot / assistant,46,9.523809523809524,0.040970297584054155,93.18958035889253
Translation / localization,100,11.76470588235294,0.025852436562860473,92.8250252306805
Online survey setup,20,9.523809523809524,0.05215419501133785,92.63038548752834
Data entry / back-office processing,47,11.864406779661017,0.03418557885665038,92.35851766733697
Data cleaning / deduplication,42,12.195121951219514,0.040253817172318074,91.88974816577434
Small IT equipment supply,1584,12.232372700445781,0.040222514144930194,91.8726879425306
Voice-over / narration / audio editing,31,11.428571428571429,0.04932944606413994,91.8192419825073
Annual report / publication layout,21,11.538461538461538,0.056213017751479306,91.42011834319527
Online forms / lightweight portals,529,14.094601051122785,0.034851753701334955,91.21011178937187
Website design / redesign,3463,15.59048001606749,0.02526326565461792,90.94159670923537
Subtitles / captions,10,10.0,0.10000000000000002,90.0
Illustration / infographics,72,18.14159292035398,0.05665227168477224,88.09658995558439
Promotional merchandise / branded items,63,19.736842105263154,0.0536703601108033,87.44806094182826
Video editing / post-production,15,16.666666666666664,0.09027777777777776,87.15277777777777
CMS development / migration,64,19.949494949494948,0.05893212427303339,87.07864631160086
Newsletter / magazine production,12,16.666666666666664,0.10493827160493827,86.41975308641976
Event audiovisual / livestream,10,16.666666666666664,0.11111111111111112,86.11111111111111
Simple API / software integration,136,22.833333333333332,0.07354759259259273,84.9059537037037
Digital marketing / SEO / campaigns,168,22.35294117647059,0.08119712229811728,84.76367329685884
Low-code / no-code implementation,55,23.364485981308412,0.0718840073368853,84.72355664250153
Desk research / information collection,24,25.64102564102564,0.09270216962524651,82.54437869822486
Microsites / campaign landing pages,7,20.0,0.16000000000000003,82.0
Animation / motion design,17,30.76923076923077,0.15450361604207757,76.89020381328073
Web accessibility remediation,31,35.78947368421053,0.16371191135734062,73.9196675900277
Cataloguing / indexing / metadata,7,36.36363636363637,0.23553719008264462,70.04132231404958
Survey data processing / coding,3,33.33333333333333,0.3333333333333333,66.66666666666667
Presentation / template design,20,45.94594594594595,0.24032140248356465,65.01095690284879
Event communication materials,1,100.0,1.0,0.0
