Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status,Award_Count,Tender_Award_Linkage_Pct,Award_Value_Coverage_Pct,Bidder_Count_Coverage_Pct,Median_Bidder_Count,Single_Bid_Share_Pct,Competition_Opportunity_Score,Known_Value_Awards,Currency_Cohorts,Relative_Value_Score,Observed_Suppliers,Top_Supplier_Share_Pct,Supplier_HHI,Supplier_Fragmentation_Score,Award_Evidence_Score,Enriched_Opportunity_Score,Easy_Money_Enriched_Score,Expected_Profit_Proxy,AI_Leverage_Enriched_Score,Middleman_Enriched_Score,Enrichment_Contract,Enriched_Status
Workflow automation / RPA,AUTOMATION_SOFTWARE,587,135,9,39,15.0,44.63373083475298,0.94,0.78,0.98,0.66,0.7,0.92,433,28,73.7649063032368,0.7659574468085106,0.5531914893617021,1.0,0.9574468085106383,0.0,73.35276595744679,76.99999999999999,85.11702127659574,79.63191489361702,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,642,75.46848381601363,90.34267912772586,87.07165109034268,1.0,69.23076923076923,90.76923076923077,577,8,54.77081928012612,224,4.462809917355372,0.011679985429046304,97.18459576986999,83.41169259182601,76.93489623116677,83.42270477850926,77.77654901240314,81.04504549215031,78.0359964090396,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Transcription / minutes,VIDEO_AUDIO,16816,1358,9,60,90.0,32.07659372026641,0.96,0.96,0.99,0.95,0.96,0.9,2833,212,16.847050428163655,1.0,0.9148936170212766,0.2127659574468085,0.44680851063829785,0.9574468085106383,78.79510638297873,88.62765957446808,88.05106382978724,86.42659574468084,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,7862,16.680542340627973,73.03485118290511,67.08216738743322,1.0,47.95221843003413,84.38566552901024,5742,13,42.76772572978266,2133,6.7252553533468165,0.011580386905140067,96.05835297806959,48.707322507352686,74.7310465799334,84.9018310692052,77.47529741066799,78.92483621858712,77.06901364205217,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Copywriting / editorial content,CONTENT_DESIGN,1140,704,8,26,70.0,30.614035087719298,0.88,0.9,0.99,0.9,0.89,0.86,394,70,34.56140350877193,0.851063829787234,0.8723404255319149,0.6170212765957447,0.3829787234042553,0.6170212765957447,76.25393617021277,88.27021276595744,84.47659574468085,85.8936170212766,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,483,35.0,84.67908902691511,71.2215320910973,1.0,79.65116279069767,93.8953488372093,405,6,45.27052067958158,316,9.069767441860465,0.011840544438435246,94.87308905714801,60.77018633540372,76.22243417697047,87.63566878083104,78.68381586927669,78.35223932370495,78.1857567050222,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Simple API / software integration,AUTOMATION_SOFTWARE,330,143,9,38,60.0,36.36363636363637,0.82,0.76,0.97,0.62,0.6,0.9,185,20,56.06060606060606,0.6808510638297872,0.6170212765957447,0.8936170212765957,0.7872340425531915,0.40425531914893614,71.84542553191488,71.58617021276595,77.70851063829787,77.3063829787234,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,326,61.515151515151516,85.58282208588957,51.84049079754601,2.0,46.15384615384615,73.34615384615384,272,5,84.90829076097256,136,22.833333333333332,0.07354759259259273,84.9059537037037,65.83305447109129,75.11043524325902,73.36082288891672,79.27475071200467,77.75846916912434,78.05929336779559,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Website design / redesign,WEB_DIGITAL,8599,2709,9,57,85.0,35.608791719967435,0.75,0.85,0.95,0.82,0.78,0.82,4899,379,56.97174090010466,0.9787234042553191,0.9787234042553191,0.9148936170212766,0.7446808510638298,0.9148936170212766,89.27563829787233,84.34893617021277,85.35425531914893,85.73617021276596,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,5305,40.46982207233399,79.96229971724787,48.50141376060321,3.0,23.241352506801398,55.972405752040416,4239,12,60.98915056981797,3463,15.59048001606749,0.02526326565461792,90.94159670923537,54.72704287228892,76.81118469935492,76.7003398376393,74.55943583575855,77.22994402769542,79.44374718192299,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Low-code / no-code implementation,AUTOMATION_SOFTWARE,179,90,8,26,74.0,34.63687150837989,0.92,0.8,0.99,0.72,0.76,0.92,77,7,43.01675977653631,0.5319148936170213,0.5106382978723404,0.7446808510638298,0.6595744680851063,0.7021276595744681,68.91159574468084,78.49680851063829,76.34468085106384,78.35319148936169,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,112,55.865921787709496,92.85714285714286,67.85714285714286,2.0,36.84210526315789,70.55263157894736,99,5,74.98192980340401,55,23.364485981308412,0.0718840073368853,84.72355664250153,70.56065442936952,71.81400204435913,77.04836993595272,79.07461583066666,75.27186194561851,77.70528504578282,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Document digitization / scanning,DATA_ADMIN,8091,2212,9,75,92.0,30.255839822024473,0.72,0.95,0.55,0.84,0.82,0.82,3348,366,41.37931034482759,0.9361702127659575,0.9574468085106383,0.723404255319149,0.3404255319148936,1.0,80.84893617021277,79.63404255319149,80.91914893617022,87.90851063829787,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,6667,45.39611914472871,64.51177441127943,61.93190340482976,2.0,37.03075805279729,70.60922741583917,4295,14,50.98525939234644,2372,6.266161802733657,0.007968811803187061,96.46847850847382,56.09155100272424,74.64552787810977,77.99999576396667,73.15646170492688,74.15669345589126,80.04432377486538,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Online forms / lightweight portals,WEB_DIGITAL,1882,424,8,54,60.0,33.740701381509034,0.7,0.78,0.94,0.66,0.68,0.82,1383,48,73.48565356004251,0.8723404255319149,0.8085106382978723,0.9787234042553191,0.5957446808510638,0.40425531914893614,77.09787234042552,75.6872340425532,79.06170212765957,79.47234042553191,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,2563,60.52072263549415,77.05813499804916,62.465860319937576,2.0,43.660212367270454,72.59806371018112,1974,13,53.68852155095083,529,14.094601051122785,0.034851753701334955,91.21011178937187,66.06548764959368,73.54611270630848,76.43565699880564,72.22338303809568,73.95955047550213,75.43785945313492,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
E-learning / training content,TRAINING,613,300,9,34,60.0,31.321370309951057,0.86,0.86,0.98,0.76,0.78,0.86,183,22,29.853181076672104,0.7872340425531915,0.7446808510638298,0.5531914893617021,0.40425531914893614,0.40425531914893614,68.67127659574467,79.23191489361702,79.74680851063829,80.27872340425533,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,395,43.882544861337685,81.77215189873418,70.63291139240506,2.0,44.086021505376344,72.7258064516129,321,10,32.61140612995674,236,4.972375690607735,0.012369848634385755,96.89531972297684,63.27453693187684,66.62576932657996,78.98446613344615,69.38242468529475,71.15078436869544,73.08986679774485,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
AI chatbot / assistant,AUTOMATION_SOFTWARE,139,59,9,27,60.0,45.32374100719424,0.99,0.78,0.99,0.62,0.68,0.94,63,11,45.32374100719424,0.48936170212765956,0.3829787234042553,0.7872340425531915,0.9787234042553191,0.40425531914893614,66.74170212765958,73.12234042553192,77.35425531914893,75.70212765957447,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,84,47.48201438848921,60.714285714285715,60.714285714285715,2.0,29.411764705882355,68.3235294117647,50,7,47.54935828666331,46,9.523809523809524,0.040970297584054155,93.18958035889253,55.42137718396712,66.25798758426983,73.4025678886261,71.14764616825596,70.88380426677857,71.19988247600888,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Graphic design / layout,CONTENT_DESIGN,664,471,8,27,82.0,27.86144578313253,0.82,0.92,0.98,0.92,0.88,0.84,162,29,24.397590361445783,0.8085106382978723,0.8297872340425532,0.3404255319148936,0.14893617021276595,0.7659574468085106,69.1855319148936,86.10425531914895,77.32127659574468,83.30212765957448,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,465,42.7710843373494,70.10752688172043,53.54838709677419,3.0,34.53815261044177,59.36144578313253,324,8,46.30826257917035,293,6.483790523690774,0.013593689231131275,96.07842027659805,54.20520792848815,65.72939692503307,79.06191341649695,72.8256139016244,69.71753797863448,76.1209851861076,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Translation / localization,LANGUAGE,457,302,8,20,20.0,35.22975929978118,0.84,0.96,0.99,0.74,0.9,0.74,127,19,27.789934354485776,0.7021276595744681,0.7659574468085106,0.5106382978723404,0.7021276595744681,0.14893617021276595,67.77946808510637,82.7563829787234,75.83829787234042,80.7659574468085,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,158,30.63457330415755,72.15189873417721,48.734177215189874,1.0,61.038961038961034,88.31168831168831,114,6,35.24819163479501,100,11.76470588235294,0.025852436562860473,92.8250252306805,48.519652106473146,68.5477855785018,81.95406729588493,71.40603772107325,69.63118869235002,71.91956881936014,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
