Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status,Award_Count,Tender_Award_Linkage_Pct,Award_Value_Coverage_Pct,Bidder_Count_Coverage_Pct,Median_Bidder_Count,Single_Bid_Share_Pct,Competition_Opportunity_Score,Known_Value_Awards,Currency_Cohorts,Relative_Value_Score,Observed_Suppliers,Top_Supplier_Share_Pct,Supplier_HHI,Supplier_Fragmentation_Score,Award_Evidence_Score,Enriched_Opportunity_Score,Easy_Money_Enriched_Score,Expected_Profit_Proxy,AI_Leverage_Enriched_Score,Middleman_Enriched_Score,Enrichment_Contract,Enriched_Status
Copywriting / editorial content,CONTENT_DESIGN,1140,704,8,26,70.0,30.614035087719298,0.88,0.9,0.99,0.9,0.89,0.86,394,70,34.56140350877193,0.851063829787234,0.8723404255319149,0.6170212765957447,0.3829787234042553,0.6170212765957447,76.25393617021277,88.27021276595744,84.47659574468085,85.8936170212766,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,483,35.0,84.67908902691511,71.2215320910973,1.0,79.65116279069767,93.8953488372093,405,6,45.27052067958158,316,9.069767441860465,0.011840544438435246,94.87308905714801,60.77018633540372,76.22243417697047,87.63566878083104,78.68381586927669,78.35223932370495,78.1857567050222,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Web hosting / domain / SSL,WEB_DIGITAL,1030,528,9,42,60.0,34.75728155339806,0.35,0.95,0.98,0.86,0.92,0.72,385,54,37.37864077669903,0.8297872340425532,0.851063829787234,0.6595744680851063,0.6808510638297872,0.40425531914893614,72.90744680851063,88.64574468085107,58.907446808510635,84.00638297872341,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,664,53.20388349514563,77.71084337349397,46.536144578313255,1.0,51.1326860841424,85.33980582524272,514,11,63.39144017957792,387,4.991680532445924,0.008389096375702173,97.08470491499193,58.555649783600416,75.66665357691976,86.24139145512547,80.18331204847796,62.20569186459842,79.67690043296614,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Video editing / post-production,VIDEO_AUDIO,37,29,5,10,82.0,32.432432432432435,0.88,0.94,0.99,0.9,0.88,0.88,10,3,27.027027027027028,0.1702127659574468,0.19148936170212766,0.44680851063829785,0.5106382978723404,0.7659574468085106,53.47755319148935,86.91808510638297,59.144680851063825,79.48297872340426,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,27,45.945945945945944,81.48148148148148,88.88888888888889,1.0,54.166666666666664,86.25,21,3,13.538428909213255,15,16.666666666666664,0.09027777777777776,87.15277777777777,69.48948948948949,58.209293184378915,85.07681242412626,68.65871479231512,55.53151540660114,69.35892723332148,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Transcription / minutes,VIDEO_AUDIO,16816,1358,9,60,90.0,32.07659372026641,0.96,0.96,0.99,0.95,0.96,0.9,2833,212,16.847050428163655,1.0,0.9148936170212766,0.2127659574468085,0.44680851063829785,0.9574468085106383,78.79510638297873,88.62765957446808,88.05106382978724,86.42659574468084,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,7862,16.680542340627973,73.03485118290511,67.08216738743322,1.0,47.95221843003413,84.38566552901024,5742,13,42.76772572978266,2133,6.7252553533468165,0.011580386905140067,96.05835297806959,48.707322507352686,74.7310465799334,84.9018310692052,77.47529741066799,78.92483621858712,77.06901364205217,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Workflow automation / RPA,AUTOMATION_SOFTWARE,587,135,9,39,15.0,44.63373083475298,0.94,0.78,0.98,0.66,0.7,0.92,433,28,73.7649063032368,0.7659574468085106,0.5531914893617021,1.0,0.9574468085106383,0.0,73.35276595744679,76.99999999999999,85.11702127659574,79.63191489361702,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,642,75.46848381601363,90.34267912772586,87.07165109034268,1.0,69.23076923076923,90.76923076923077,577,8,54.77081928012612,224,4.462809917355372,0.011679985429046304,97.18459576986999,83.41169259182601,76.93489623116677,83.42270477850926,77.77654901240314,81.04504549215031,78.0359964090396,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Annual report / publication layout,CONTENT_DESIGN,52,42,8,12,80.0,34.61538461538461,0.82,0.92,0.98,0.88,0.86,0.85,9,1,17.307692307692307,0.2765957446808511,0.3191489361702128,0.23404255319148937,0.6382978723404256,0.723404255319149,53.996808510638296,83.1404255319149,58.05957446808511,76.78191489361701,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,27,44.23076923076923,81.48148148148148,48.148148148148145,1.0,61.53846153846154,88.46153846153845,19,3,34.20814643846065,21,11.538461538461538,0.056213017751479306,91.42011834319527,56.58119658119658,61.79300557677529,82.79067914445983,72.81242814933567,57.448137768642354,69.83959813905935,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Data cleaning / deduplication,DATA_ADMIN,68,31,7,16,70.0,32.35294117647059,0.92,0.88,0.99,0.82,0.84,0.9,39,5,57.35294117647059,0.3191489361702128,0.23404255319148937,0.9361702127659575,0.48936170212765956,0.6170212765957447,62.39691489361703,87.11170212765957,69.65531914893617,81.70212765957447,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,42,50.0,83.33333333333333,45.23809523809524,2.0,47.368421052631575,73.71052631578947,32,5,53.25428822726299,42,12.195121951219514,0.040253817172318074,91.88974816577434,58.57142857142857,66.04625218920472,82.29414651537968,77.54822156544245,67.04649069849515,76.14064388653316,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Cataloguing / indexing / metadata,DATA_ADMIN,27,18,6,7,20.0,29.629629629629626,0.84,0.88,0.94,0.8,0.86,0.82,12,3,44.44444444444444,0.1276595744680851,0.10638297872340426,0.7659574468085106,0.2553191489361702,0.14893617021276595,46.067872340425524,84.45957446808511,57.808510638297875,76.42340425531916,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,14,40.74074074074074,64.28571428571429,50.0,1.0,100.0,100.0,8,2,69.46539912202559,7,36.36363636363637,0.23553719008264462,70.04132231404958,50.58201058201058,62.98697879902209,82.01716536275532,81.23133307574113,63.41486784421288,72.15735592386731,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Translation / localization,LANGUAGE,457,302,8,20,20.0,35.22975929978118,0.84,0.96,0.99,0.74,0.9,0.74,127,19,27.789934354485776,0.7021276595744681,0.7659574468085106,0.5106382978723404,0.7021276595744681,0.14893617021276595,67.77946808510637,82.7563829787234,75.83829787234042,80.7659574468085,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,158,30.63457330415755,72.15189873417721,48.734177215189874,1.0,61.038961038961034,88.31168831168831,114,6,35.24819163479501,100,11.76470588235294,0.025852436562860473,92.8250252306805,48.519652106473146,68.5477855785018,81.95406729588493,71.40603772107325,69.63118869235002,71.91956881936014,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Proofreading / editing,CONTENT_DESIGN,132,67,8,17,90.0,29.545454545454547,0.86,0.92,0.99,0.92,0.93,0.82,38,8,28.78787878787879,0.46808510638297873,0.40425531914893614,0.5319148936170213,0.23404255319148937,0.9574468085106383,62.51414893617021,89.41914893617022,67.64468085106384,80.46170212765958,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,134,51.515151515151516,92.53731343283582,92.53731343283582,4.0,33.87096774193548,48.66129032258064,122,4,51.230718067575616,76,6.0606060606060606,0.022449877563513913,95.84720309152127,76.1284486657621,62.0650829851778,80.90271530971415,73.2882955020927,63.7084357714272,77.1822792688434,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
