Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status,Award_Count,Tender_Award_Linkage_Pct,Award_Value_Coverage_Pct,Bidder_Count_Coverage_Pct,Median_Bidder_Count,Single_Bid_Share_Pct,Competition_Opportunity_Score,Known_Value_Awards,Currency_Cohorts,Relative_Value_Score,Observed_Suppliers,Top_Supplier_Share_Pct,Supplier_HHI,Supplier_Fragmentation_Score,Award_Evidence_Score,Enriched_Opportunity_Score,Easy_Money_Enriched_Score,Expected_Profit_Proxy,AI_Leverage_Enriched_Score,Middleman_Enriched_Score,Enrichment_Contract,Enriched_Status
Animation / motion design,VIDEO_AUDIO,21,20,5,7,82.0,42.857142857142854,0.9,0.92,0.99,0.86,0.84,0.9,0,0,0.0,0.0851063829787234,0.1276595744680851,0.0,0.8936170212765957,0.7659574468085106,47.365212765957445,79.75,53.11702127659574,73.47659574468086,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,14,47.61904761904762,85.71428571428571,71.42857142857143,2.0,30.0,68.5,8,1,87.87878787878788,17,30.76923076923077,0.15450361604207757,76.89020381328073,66.19047619047619,61.56296875564878,75.71507819103974,81.34621735102505,60.52325688495901,75.24967341623643,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Promotional merchandise / branded items,PRINT_BROKERAGE,174,137,8,13,15.0,33.33333333333333,0.18,0.99,0.9,0.88,0.88,0.76,23,6,13.218390804597702,0.5106382978723404,0.574468085106383,0.1702127659574468,0.5531914893617021,0.0,48.34329787234043,82.85212765957446,36.231914893617024,79.24680851063832,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,97,41.95402298850575,58.76288659793814,52.577319587628864,2.0,43.13725490196079,72.44117647058823,52,2,85.1320744136347,63,19.736842105263154,0.0536703601108033,87.44806094182826,50.1836710510724,62.68368503906951,78.1924817532651,81.29224584903079,47.885452787189564,78.04340989325017,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Cataloguing / indexing / metadata,DATA_ADMIN,27,18,6,7,20.0,29.629629629629626,0.84,0.88,0.94,0.8,0.86,0.82,12,3,44.44444444444444,0.1276595744680851,0.10638297872340426,0.7659574468085106,0.2553191489361702,0.14893617021276595,46.067872340425524,84.45957446808511,57.808510638297875,76.42340425531916,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,14,40.74074074074074,64.28571428571429,50.0,1.0,100.0,100.0,8,2,69.46539912202559,7,36.36363636363637,0.23553719008264462,70.04132231404958,50.58201058201058,62.98697879902209,82.01716536275532,81.23133307574113,63.41486784421288,72.15735592386731,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Web hosting / domain / SSL,WEB_DIGITAL,1030,528,9,42,60.0,34.75728155339806,0.35,0.95,0.98,0.86,0.92,0.72,385,54,37.37864077669903,0.8297872340425532,0.851063829787234,0.6595744680851063,0.6808510638297872,0.40425531914893614,72.90744680851063,88.64574468085107,58.907446808510635,84.00638297872341,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,664,53.20388349514563,77.71084337349397,46.536144578313255,1.0,51.1326860841424,85.33980582524272,514,11,63.39144017957792,387,4.991680532445924,0.008389096375702173,97.08470491499193,58.555649783600416,75.66665357691976,86.24139145512547,80.18331204847796,62.20569186459842,79.67690043296614,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Simple API / software integration,AUTOMATION_SOFTWARE,330,143,9,38,60.0,36.36363636363637,0.82,0.76,0.97,0.62,0.6,0.9,185,20,56.06060606060606,0.6808510638297872,0.6170212765957447,0.8936170212765957,0.7872340425531915,0.40425531914893614,71.84542553191488,71.58617021276595,77.70851063829787,77.3063829787234,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,326,61.515151515151516,85.58282208588957,51.84049079754601,2.0,46.15384615384615,73.34615384615384,272,5,84.90829076097256,136,22.833333333333332,0.07354759259259273,84.9059537037037,65.83305447109129,75.11043524325902,73.36082288891672,79.27475071200467,77.75846916912434,78.05929336779559,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Low-code / no-code implementation,AUTOMATION_SOFTWARE,179,90,8,26,74.0,34.63687150837989,0.92,0.8,0.99,0.72,0.76,0.92,77,7,43.01675977653631,0.5319148936170213,0.5106382978723404,0.7446808510638298,0.6595744680851063,0.7021276595744681,68.91159574468084,78.49680851063829,76.34468085106384,78.35319148936169,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,112,55.865921787709496,92.85714285714286,67.85714285714286,2.0,36.84210526315789,70.55263157894736,99,5,74.98192980340401,55,23.364485981308412,0.0718840073368853,84.72355664250153,70.56065442936952,71.81400204435913,77.04836993595272,79.07461583066666,75.27186194561851,77.70528504578282,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Copywriting / editorial content,CONTENT_DESIGN,1140,704,8,26,70.0,30.614035087719298,0.88,0.9,0.99,0.9,0.89,0.86,394,70,34.56140350877193,0.851063829787234,0.8723404255319149,0.6170212765957447,0.3829787234042553,0.6170212765957447,76.25393617021277,88.27021276595744,84.47659574468085,85.8936170212766,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,483,35.0,84.67908902691511,71.2215320910973,1.0,79.65116279069767,93.8953488372093,405,6,45.27052067958158,316,9.069767441860465,0.011840544438435246,94.87308905714801,60.77018633540372,76.22243417697047,87.63566878083104,78.68381586927669,78.35223932370495,78.1857567050222,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Workflow automation / RPA,AUTOMATION_SOFTWARE,587,135,9,39,15.0,44.63373083475298,0.94,0.78,0.98,0.66,0.7,0.92,433,28,73.7649063032368,0.7659574468085106,0.5531914893617021,1.0,0.9574468085106383,0.0,73.35276595744679,76.99999999999999,85.11702127659574,79.63191489361702,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,642,75.46848381601363,90.34267912772586,87.07165109034268,1.0,69.23076923076923,90.76923076923077,577,8,54.77081928012612,224,4.462809917355372,0.011679985429046304,97.18459576986999,83.41169259182601,76.93489623116677,83.42270477850926,77.77654901240314,81.04504549215031,78.0359964090396,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Data cleaning / deduplication,DATA_ADMIN,68,31,7,16,70.0,32.35294117647059,0.92,0.88,0.99,0.82,0.84,0.9,39,5,57.35294117647059,0.3191489361702128,0.23404255319148937,0.9361702127659575,0.48936170212765956,0.6170212765957447,62.39691489361703,87.11170212765957,69.65531914893617,81.70212765957447,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,42,50.0,83.33333333333333,45.23809523809524,2.0,47.368421052631575,73.71052631578947,32,5,53.25428822726299,42,12.195121951219514,0.040253817172318074,91.88974816577434,58.57142857142857,66.04625218920472,82.29414651537968,77.54822156544245,67.04649069849515,76.14064388653316,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
Direct mail / envelope / routing,PRINT_BROKERAGE,88,69,8,9,82.0,34.090909090909086,0.2,0.99,0.78,0.82,0.78,0.72,10,2,11.363636363636363,0.3404255319148936,0.425531914893617,0.1276595744680851,0.6170212765957447,0.7659574468085106,49.43351063829786,76.02659574468085,30.668085106382975,75.43191489361702,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED,39,42.04545454545455,74.35897435897436,30.76923076923077,1.5,50.0,79.75,28,3,74.92291076238878,25,6.666666666666667,0.044444444444444446,94.44444444444444,48.35664335664336,63.76746854578386,76.76695866190548,77.54698064567994,43.09892835665856,74.54929007531815,TARGETED_AWARD_ENRICHMENT_V1,DERIVED
