Niche,Supplier_ID,Supplier_Name,Supplier_Country,Fractional_Awards,Observed_Awards,Niche_Fractional_Awards,Supplier_Share_Pct,rn
AI chatbot / assistant,sup_b08af754aa04f02e4962,"INTELEQUIA TECHNOLOGIES, SL",ESP,6.0,6,63.0,9.523809523809524,1
AI chatbot / assistant,sup_cad8870f15cac7235fe0,Lockus Sp. z o. o.,POL,5.0,5,63.0,7.936507936507937,2
AI chatbot / assistant,sup_403f89d96e8f2557467f,Microsoft Norge AS,NOR,4.0,4,63.0,6.349206349206349,3
AI chatbot / assistant,sup_48d9f70ef29ca5aa868c,twoday Oy,FIN,4.0,4,63.0,6.349206349206349,4
AI chatbot / assistant,sup_e43df4c71dafc6662b93,ACCURATE BUSINESS SRL,ROU,3.5,5,63.0,5.555555555555555,5
AI chatbot / assistant,sup_6f79629fe8c07370e0e8,"MAMA TELMA AI, s.r.o.",CZE,3.0,3,63.0,4.761904761904762,6
AI chatbot / assistant,sup_b50ff1613a9e13c258a0,VESTRA INDUSTRY SRL,ROU,2.5,3,63.0,3.9682539682539684,7
AI chatbot / assistant,sup_2e0022c2d654d952e4cc,Data Commandos,Nederland,2.0,2,63.0,3.1746031746031744,8
AI chatbot / assistant,sup_8932cecb8b895bff607a,UnderstandLing,Nederland,2.0,2,63.0,3.1746031746031744,9
AI chatbot / assistant,sup_8c39cd3b588223402422,Askmona,Canada,2.0,2,63.0,3.1746031746031744,10
AI chatbot / assistant,sup_e453e2e9674c44eae6cd,Onlim GmbH,AUT,2.0,2,63.0,3.1746031746031744,11
AI chatbot / assistant,sup_1c3571349c7c79b60861,"SELECT ASTERISCO, SL",ES,1.0,1,63.0,1.5873015873015872,12
AI chatbot / assistant,sup_1f44b7e33e998fb5dbbb,Mehiläinen Oy,FIN,1.0,1,63.0,1.5873015873015872,13
AI chatbot / assistant,sup_293363763c9d1a4b758f,Bpower2 sp. z o.o.,POL,1.0,1,63.0,1.5873015873015872,14
AI chatbot / assistant,sup_2d7c5349c498524fcfeb,ARGE ITPMPE2021,AUT,1.0,1,63.0,1.5873015873015872,15
AI chatbot / assistant,sup_2f9caccae7b4d4e1b0de,UAB „Tilde informacinės technologijos“,LTU,1.0,1,63.0,1.5873015873015872,16
AI chatbot / assistant,sup_316e865ca2188d2e6ddb,Titanom Solutions GmbH,DEU,1.0,1,63.0,1.5873015873015872,17
AI chatbot / assistant,sup_54b1bc9cd593cef4f92b,ACP IT Solutions GmbH,DEU,1.0,1,63.0,1.5873015873015872,18
AI chatbot / assistant,sup_5acb791fbc310808e98f,Philippe Beaufort,Canada,1.0,1,63.0,1.5873015873015872,19
AI chatbot / assistant,sup_7475806087cac57c3a9e,BOXXE LIMITED,United Kingdom,1.0,1,63.0,1.5873015873015872,20
AI chatbot / assistant,sup_7da124faa78d964e7570,TECHGENETIX LTD,United Kingdom,1.0,1,63.0,1.5873015873015872,21
AI chatbot / assistant,sup_7df3f614ef715f596109,LeadDesk Oyj,FI,1.0,1,63.0,1.5873015873015872,22
AI chatbot / assistant,sup_7feff0ffff824d2db8a8,Esecom International OÜ,EST,1.0,1,63.0,1.5873015873015872,23
