Niche,Tender_Count,turnover_or_financial_capacity_mention_pct,iso_or_certification_mention_pct,insurance_mention_pct,prior_references_mention_pct,staff_minimum_mention_pct,security_clearance_mention_pct,local_or_onsite_mention_pct,framework_or_prequalification_mention_pct
Transcription / minutes,16816,0.02973358705994291,0.13082778306374881,0.005946717411988583,0.005946717411988583,0.09514747859181732,0.0,0.07730732635585157,1.123929590865842
Website design / redesign,8599,0.0,0.18606814745900685,0.0,0.011629259216187928,0.03488777764856379,0.0,0.17443888824281892,1.942086289103384
Brochure / flyer / poster printing,8454,0.0,0.2602318429145966,0.0,0.0,0.059143600662408334,0.02365744026496333,0.17743080198722497,5.559498462266383
Document digitization / scanning,8091,0.024718823384006924,0.22246941045606228,0.0,0.0,0.08651588184402423,0.012359411692003462,0.27190705722407615,1.9527870473365467
Small IT equipment supply,4607,0.04341219882787063,0.5209463859344476,0.0,0.021706099413935316,0.04341219882787063,0.0,0.32559149120902975,3.169090514434556
Signage / wayfinding / vinyl,3197,0.03127932436659368,0.6568658116984674,0.0,0.0,0.0,0.0,0.59430716296528,3.9724741945573974
Online forms / lightweight portals,1882,0.0,1.8597236981934113,0.0,0.5844845908607864,0.10626992561105207,0.21253985122210414,0.7438894792773645,4.888416578108395
Copywriting / editorial content,1140,0.17543859649122806,1.8421052631578945,0.0,0.0,0.0,0.0,1.3157894736842104,8.157894736842106
Web hosting / domain / SSL,1030,0.0,0.5825242718446602,0.0,0.0970873786407767,0.3883495145631068,0.0,0.5825242718446602,1.7475728155339807
Graphic design / layout,664,0.0,0.0,0.0,0.0,0.0,0.0,0.15060240963855423,12.198795180722891
E-learning / training content,613,0.1631321370309951,0.48939641109298526,0.0,0.0,0.1631321370309951,0.0,0.3262642740619902,5.057096247960848
Workflow automation / RPA,587,0.0,0.17035775127768313,0.0,0.0,0.0,0.0,0.0,2.385008517887564
Digital marketing / SEO / campaigns,513,0.0,0.5847953216374269,0.0,0.0,0.0,0.0,0.0,4.28849902534113
Brand identity / visual identity,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.790419161676647
Translation / localization,457,0.0,1.0940919037199124,0.0,0.0,0.0,0.0,0.87527352297593,8.533916849015318
Simple API / software integration,330,0.0,1.2121212121212122,0.0,0.0,0.0,0.30303030303030304,0.30303030303030304,6.969696969696971
Social media content production,319,0.0,0.0,0.0,0.0,0.3134796238244514,0.0,0.0,3.761755485893417
CMS development / migration,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.633204633204633
Labels / stickers / QR materials,237,0.0,2.5316455696202533,0.0,0.0,0.0,0.0,1.2658227848101267,10.126582278481013
Interpretation services,235,0.0,0.851063829787234,0.0,0.0,0.0,0.0,1.276595744680851,7.234042553191489
Website maintenance / content updates,220,0.0,4.090909090909091,0.0,0.0,0.0,0.0,20.909090909090907,7.727272727272727
Photography,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.307692307692308
Low-code / no-code implementation,179,0.0,0.5586592178770949,0.0,0.0,0.0,0.0,0.0,4.4692737430167595
Promotional merchandise / branded items,174,0.0,0.0,0.0,0.0,0.0,0.0,1.1494252873563218,8.045977011494253
AI chatbot / assistant,139,0.0,1.4388489208633095,0.0,0.0,0.0,0.0,0.0,5.0359712230215825
Proofreading / editing,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332
Video production,123,0.0,0.8130081300813009,0.0,0.0,0.0,0.0,0.0,13.821138211382115
Web accessibility remediation,112,0.0,3.571428571428571,0.0,0.0,0.0,0.0,0.0,2.6785714285714284
Illustration / infographics,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.504504504504505
Office / presentation equipment supply,99,0.0,1.0101010101010102,0.0,0.0,0.0,0.0,0.0,15.151515151515152
Data entry / back-office processing,90,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,4.444444444444445
Direct mail / envelope / routing,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4090909090909087
Data cleaning / deduplication,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647
Presentation / template design,65,0.0,3.076923076923077,0.0,0.0,0.0,0.0,3.076923076923077,4.615384615384616
Annual report / publication layout,52,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,7.6923076923076925
Voice-over / narration / audio editing,51,0.0,1.9607843137254901,0.0,0.0,0.0,0.0,1.9607843137254901,7.8431372549019605
Online survey setup,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Newsletter / magazine production,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desk research / information collection,43,0.0,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,6.976744186046512
Video editing / post-production,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405405405405405
Event audiovisual / livestream,35,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0
Cataloguing / indexing / metadata,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111
Subtitles / captions,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animation / motion design,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsites / campaign landing pages,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Survey data processing / coding,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092
Event communication materials,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Document conversion / PDF remediation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
