Niche,Macro_Category,Warehouse_Source,Country,Buyer_ID,Buyer_Name,Tender_Count,First_Date,Last_Date,Active_Years,Active_Span_Days
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,POL,buy_e4d061caa68fce2f60e7,Starostwo Powiatowe w Krakowie,1195,2023-10-26,2026-08-13,4,1022
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,ROU,buy_56f10621e0007ccb73ca,Spitalul Judetean de Urgenta Miercurea Ciuc,509,2023-03-22,2026-08-12,4,1239
Transcription / minutes,VIDEO_AUDIO,Quebec,Canada - Quebec,buy_c6c4f8fd98cdffdd3a77,Ministère de la Justice,446,2023-08-08,2026-07-24,4,1081
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,ROU,buy_56f10621e0007ccb73ca,SPITALUL CLINIC SFANTA MARIA,405,2022-03-08,2026-08-12,5,1618
Transcription / minutes,VIDEO_AUDIO,TED,ESP,buy_262acb26bfbdf5a4121e,Secretaría de Estado de Migraciones,393,2023-11-20,2026-08-12,4,996
Document digitization / scanning,DATA_ADMIN,TED,NOR,buy_581df20f038735ed5497,Sarpsborg kommune,334,2023-11-03,2026-08-05,4,1006
Brochure / flyer / poster printing,PRINT_BROKERAGE,TED,NOR,buy_581df20f038735ed5497,Stiftelsen Nasjonalmuseet for kunst,290,2023-10-31,2026-08-10,4,1014
Online forms / lightweight portals,WEB_DIGITAL,TED,POL,buy_e4d061caa68fce2f60e7,Komenda Główna Straży Granicznej,268,2023-11-09,2026-08-03,4,998
Online forms / lightweight portals,WEB_DIGITAL,TED,ESP,buy_262acb26bfbdf5a4121e,Junta de Contratación de la Secretaría de Estado de Justicia,263,2023-11-28,2026-08-06,4,982
Small IT equipment supply,PROCUREMENT_BROKERAGE,TED,CZE,buy_85fe87d2665464f38efa,Fakultní Thomayerova nemocnice,225,2024-02-06,2026-07-29,3,904
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_6877742f950de9387508,Royal Canadian Mounted Police (RCMP),224,2023-08-03,2026-07-29,4,1091
Transcription / minutes,VIDEO_AUDIO,TED,ROU,buy_56f10621e0007ccb73ca,ACET S.A. Suceava,212,2022-03-11,2026-08-04,5,1607
Website design / redesign,WEB_DIGITAL,TenderNed,Netherlands,buy_b0090e388129e0288762,Gemeente Breda,209,2023-08-08,2026-06-30,4,1057
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_1e1f064400f058822d1c,Correctional Service of Canada (CSC),205,2025-04-02,2026-07-31,2,485
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_7b727e9168f8c28e2fd5,Defence Construction Canada / Construction de Défense Canada,194,2023-08-08,2026-07-28,4,1085
Document digitization / scanning,DATA_ADMIN,TED,SWE,buy_3d59e3bbb5e2f64301ba,Region Värmland,181,2023-10-24,2026-07-24,4,1004
Website design / redesign,WEB_DIGITAL,Canada federal,Canada,buy_a36f17161b0ffe799183,Correctional Service Canada,181,2023-08-01,2025-04-02,3,610
Document digitization / scanning,DATA_ADMIN,TED,ROU,buy_56f10621e0007ccb73ca,Universitatea Tehnica de Constructii Bucuresti,179,2021-07-23,2026-08-07,5,1841
Online forms / lightweight portals,WEB_DIGITAL,TED,NOR,buy_581df20f038735ed5497,IVAR IKS,179,2023-10-31,2026-08-06,4,1010
Transcription / minutes,VIDEO_AUDIO,TED,NOR,buy_581df20f038735ed5497,Bane NOR SF,173,2023-11-10,2026-08-10,4,1004
Website design / redesign,WEB_DIGITAL,TED,NOR,buy_581df20f038735ed5497,SYKEHUSINNKJØP HF,170,2023-11-09,2026-08-11,4,1006
Website design / redesign,WEB_DIGITAL,TED,CZ,buy_bd1be1ee5f612dae87c0,Česká republika - Ministerstvo vnitra,152,2023-08-01,2024-01-30,2,182
Document digitization / scanning,DATA_ADMIN,TED,DNK,buy_ccb634a88b3b7aa188bd,Region Nordjylland,135,2023-11-02,2026-08-10,4,1012
Workflow automation / RPA,AUTOMATION_SOFTWARE,Quebec,Canada - Quebec,buy_6a45f4f5e346322e8ba0,Centre intégré de santé et de services sociaux de Lanaudière,135,2023-08-03,2026-06-30,4,1062
