Niche,Macro_Category,Historical_Tender_ID,Title,Buyer_ID,Buyer_Name,Country,Warehouse_Source,Publication_Date,Deadline,Category,Subcategory,Currency,Official_Estimated_Value,Source_URL,Source_Reference
AI chatbot / assistant,AUTOMATION_SOFTWARE,ten_841088b103219fea421b,KI Chatbot,,,Germany,Germany,2026-07-29,2026-07-14,Automation / software,Software / automation,EUR,,,
AI chatbot / assistant,AUTOMATION_SOFTWARE,bel_74ff8b362afd73717fc5353e,"Services de développement de projets et de logiciels — API, SOA et UX/UI, chatbot et IA",buy_84460e4188188af2e16ee0d0,DIRECTION GÉNÉRALE SIMPLIFICATION & DIGITALISATION,BE,Belgium,2026-07-15,2026-09-16,,,,,https://www.publicprocurement.be/publication-workspaces/68ba25c6-604d-4dd9-833b-c05842fef206,
AI chatbot / assistant,AUTOMATION_SOFTWARE,ted_c2b73bb25d8dbc14d396,„AI Dokumentacja chatbot”,buy_e4d061caa68fce2f60e7,Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych i Administracji w Białymstoku im. Mariana Zyndrama-Kościałkowskiego,POL,TED,2026-07-13,,Automation / software,IT services / software,,,,
AI chatbot / assistant,AUTOMATION_SOFTWARE,ted_62aa8b911d9c4a396406,Contrato de Servicios (CONTR 2026 0000253907),buy_841549a12d17237ad802,Servicio Andaluz de Salud. Servicios Centrales,ESP,TED,2026-07-10,2026-08-13,Automation / software,Software / automation,EUR,12917826.72,,
AI chatbot / assistant,AUTOMATION_SOFTWARE,ted_77e969a112b491d66b49,Tietopyyntö: AI-pohjainen asiointiapuri,buy_21d608cefc7ad1917578,HUS-yhtymä,FIN,TED,2026-07-05,,Automation / software,IT services / software,,,,
AI chatbot / assistant,AUTOMATION_SOFTWARE,ted_fd6278c78c7bb61c6814,Metsänhoidon suositusten digitaalisen järjestelmän ylläpito ja jatkokehitys,buy_b25d30d271157ab27322,Tapio Oy,FIN,TED,2026-07-02,2026-08-17,Automation / software,IT services / software,EUR,1500000.0,,
AI chatbot / assistant,AUTOMATION_SOFTWARE,ted_a59d94e540cabaeed6e7,Usługa centrum wsparcia CSIRE jako rozwiązanie docelowe.,buy_e4d061caa68fce2f60e7,Polskie Sieci Elektroenergetyczne S.A.,POL,TED,2026-06-29,2026-08-06,Other,UNKNOWN,,,,
AI chatbot / assistant,AUTOMATION_SOFTWARE,tn_994a9395a0730a0eae18,Europese aanbesteding Artificial Intelligence Chatbot (AI-chatbot),buy_420abc0eaa339a723072,Regisseur Studenten Reisrecht B.V.,Netherlands,TenderNed,2026-06-25,2026-11-20,Automation / software,IT services / software,UNKNOWN,,https://www.tenderned.nl/tenderned-tap/aankondigingen/430496,
AI chatbot / assistant,AUTOMATION_SOFTWARE,bel_fe4eeabcc147f2b9ab61278f,Implementatie persoonlijke AI-assistenten en chatbot voor gemeentelijke websites,buy_7f28e3971ebec0646728ec21,Haacht,BE,Belgium,2026-06-08,,,,,,https://www.publicprocurement.be/publication-workspaces/bc6767ac-70d4-4fe2-a53a-6d1908e172b3,
AI chatbot / assistant,AUTOMATION_SOFTWARE,ten_00e9b96c35ba715911f9,Chatbot,,,Germany,Germany,2026-06-03,2026-06-24,Automation / software,IT services / software,EUR,,,
AI chatbot / assistant,AUTOMATION_SOFTWARE,ted_c1e2afdacb321b6b1392,"„Zakup chmury na potrzeby kopii Baz danych, Integracja EDM z P1, Zakup chmury na potrzeby EDM i indeksowanie, AI Dokumentacja chatbot”",buy_e4d061caa68fce2f60e7,Samodzielny Publiczny Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych i Administracji w Białymstoku im. Mariana Zyndrama-Kościałkowskiego,POL,TED,2026-06-02,,Automation / software,IT services / software,,,,
AI chatbot / assistant,AUTOMATION_SOFTWARE,ted_fce1554b6827f1ebf807,Soporte experto de fabricante Stratio Generative AI Data Fabric,buy_262acb26bfbdf5a4121e,Entidad Pública Aragonesa de Servicios Telemáticos,ESP,TED,2026-05-26,,Automation / software,IT services / software,,,,
Animation / motion design,VIDEO_AUDIO,ted_8030f1b008d17dc0f2d2,Acuerdo Marco para la prestación de servicios de apoyo a la comunicación digital de Fundació Barcelona Mobile World Capital Foundation (A/F202611/S),buy_262acb26bfbdf5a4121e,Fundació Barcelona Mobile World Capital Foundation,ESP,TED,2026-07-22,2026-09-09,Creative / communications,Design / publishing,EUR,321000.0,,
