Niche,Calendar_Month,Tender_Count,Unique_Buyers
AI chatbot / assistant,1,15,12
AI chatbot / assistant,2,9,6
AI chatbot / assistant,3,14,10
AI chatbot / assistant,4,16,13
AI chatbot / assistant,5,14,12
AI chatbot / assistant,6,9,7
AI chatbot / assistant,7,13,8
AI chatbot / assistant,8,9,6
AI chatbot / assistant,9,11,8
AI chatbot / assistant,10,8,7
AI chatbot / assistant,11,14,9
AI chatbot / assistant,12,7,7
Animation / motion design,1,1,1
Animation / motion design,2,1,1
Animation / motion design,3,2,2
Animation / motion design,4,4,4
Animation / motion design,7,4,3
Animation / motion design,8,2,2
Animation / motion design,9,3,3
Animation / motion design,10,2,2
Animation / motion design,11,1,1
Animation / motion design,12,1,1
Annual report / publication layout,1,7,7
Annual report / publication layout,2,7,7
Annual report / publication layout,3,3,3
Annual report / publication layout,4,5,4
Annual report / publication layout,5,4,4
Annual report / publication layout,6,7,5
Annual report / publication layout,7,2,2
Annual report / publication layout,8,7,7
Annual report / publication layout,9,3,3
Annual report / publication layout,10,3,3
Annual report / publication layout,11,1,1
Annual report / publication layout,12,3,3
Brand identity / visual identity,1,41,34
Brand identity / visual identity,2,34,27
Brand identity / visual identity,3,45,40
Brand identity / visual identity,4,52,44
Brand identity / visual identity,5,38,33
Brand identity / visual identity,6,53,44
Brand identity / visual identity,7,39,35
Brand identity / visual identity,8,41,32
Brand identity / visual identity,9,39,30
Brand identity / visual identity,10,41,32
Brand identity / visual identity,11,39,33
Brand identity / visual identity,12,39,35
Brochure / flyer / poster printing,1,652,427
Brochure / flyer / poster printing,2,673,461
Brochure / flyer / poster printing,3,742,471
Brochure / flyer / poster printing,4,739,469
Brochure / flyer / poster printing,5,712,475
Brochure / flyer / poster printing,6,708,463
Brochure / flyer / poster printing,7,675,452
Brochure / flyer / poster printing,8,609,398
Brochure / flyer / poster printing,9,734,526
Brochure / flyer / poster printing,10,797,577
Brochure / flyer / poster printing,11,752,520
Brochure / flyer / poster printing,12,661,444
CMS development / migration,1,24,13
CMS development / migration,2,21,9
CMS development / migration,3,15,10
CMS development / migration,4,22,16
CMS development / migration,5,22,12
CMS development / migration,6,21,12
CMS development / migration,7,22,18
CMS development / migration,8,17,13
CMS development / migration,9,22,14
CMS development / migration,10,29,17
CMS development / migration,11,23,18
CMS development / migration,12,21,16
Cataloguing / indexing / metadata,2,4,4
Cataloguing / indexing / metadata,3,1,1
Cataloguing / indexing / metadata,4,2,2
Cataloguing / indexing / metadata,5,2,2
Cataloguing / indexing / metadata,6,1,1
Cataloguing / indexing / metadata,7,2,2
Cataloguing / indexing / metadata,8,2,1
Cataloguing / indexing / metadata,9,4,3
Cataloguing / indexing / metadata,10,3,3
Cataloguing / indexing / metadata,11,3,3
Cataloguing / indexing / metadata,12,3,2
Copywriting / editorial content,1,76,66
Copywriting / editorial content,2,88,72
Copywriting / editorial content,3,109,90
Copywriting / editorial content,4,119,105
Copywriting / editorial content,5,88,78
Copywriting / editorial content,6,95,79
Copywriting / editorial content,7,92,83
Copywriting / editorial content,8,84,80
Copywriting / editorial content,9,100,83
Copywriting / editorial content,10,105,90
Copywriting / editorial content,11,92,79
Copywriting / editorial content,12,92,79
Data cleaning / deduplication,1,9,8
Data cleaning / deduplication,2,3,1
Data cleaning / deduplication,3,12,9
Data cleaning / deduplication,4,6,3
Data cleaning / deduplication,5,9,6
Data cleaning / deduplication,6,2,2
Data cleaning / deduplication,7,7,5
Data cleaning / deduplication,8,1,1
Data cleaning / deduplication,9,2,2
Data cleaning / deduplication,10,4,4
Data cleaning / deduplication,11,5,3
Data cleaning / deduplication,12,8,6
Data entry / back-office processing,1,5,4
Data entry / back-office processing,2,6,6
Data entry / back-office processing,3,7,6
Data entry / back-office processing,4,12,6
Data entry / back-office processing,5,6,4
Data entry / back-office processing,6,11,8
Data entry / back-office processing,7,10,7
Data entry / back-office processing,8,5,5
