Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status
Website design / redesign,WEB_DIGITAL,8599,2709,9,57,85.0,35.608791719967435,0.75,0.85,0.95,0.82,0.78,0.82,4899,379,56.97174090010466,0.9787234042553191,0.9787234042553191,0.9148936170212766,0.7446808510638298,0.9148936170212766,89.27563829787233,84.34893617021277,85.35425531914893,85.73617021276596,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Document digitization / scanning,DATA_ADMIN,8091,2212,9,75,92.0,30.255839822024473,0.72,0.95,0.55,0.84,0.82,0.82,3348,366,41.37931034482759,0.9361702127659575,0.9574468085106383,0.723404255319149,0.3404255319148936,1.0,80.84893617021277,79.63404255319149,80.91914893617022,87.90851063829787,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Transcription / minutes,VIDEO_AUDIO,16816,1358,9,60,90.0,32.07659372026641,0.96,0.96,0.99,0.95,0.96,0.9,2833,212,16.847050428163655,1.0,0.9148936170212766,0.2127659574468085,0.44680851063829785,0.9574468085106383,78.79510638297873,88.62765957446808,88.05106382978724,86.42659574468084,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Online forms / lightweight portals,WEB_DIGITAL,1882,424,8,54,60.0,33.740701381509034,0.7,0.78,0.94,0.66,0.68,0.82,1383,48,73.48565356004251,0.8723404255319149,0.8085106382978723,0.9787234042553191,0.5957446808510638,0.40425531914893614,77.09787234042552,75.6872340425532,79.06170212765957,79.47234042553191,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Brochure / flyer / poster printing,PRINT_BROKERAGE,8454,3611,9,62,66.0,29.784717293588837,0.22,0.99,0.88,0.88,0.9,0.78,3839,539,45.410456588597114,0.9574468085106383,1.0,0.8085106382978723,0.2765957446808511,0.5957446808510638,76.9286170212766,89.43510638297873,59.9340425531915,90.38510638297872,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Copywriting / editorial content,CONTENT_DESIGN,1140,704,8,26,70.0,30.614035087719298,0.88,0.9,0.99,0.9,0.89,0.86,394,70,34.56140350877193,0.851063829787234,0.8723404255319149,0.6170212765957447,0.3829787234042553,0.6170212765957447,76.25393617021277,88.27021276595744,84.47659574468085,85.8936170212766,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Workflow automation / RPA,AUTOMATION_SOFTWARE,587,135,9,39,15.0,44.63373083475298,0.94,0.78,0.98,0.66,0.7,0.92,433,28,73.7649063032368,0.7659574468085106,0.5531914893617021,1.0,0.9574468085106383,0.0,73.35276595744679,76.99999999999999,85.11702127659574,79.63191489361702,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Web hosting / domain / SSL,WEB_DIGITAL,1030,528,9,42,60.0,34.75728155339806,0.35,0.95,0.98,0.86,0.92,0.72,385,54,37.37864077669903,0.8297872340425532,0.851063829787234,0.6595744680851063,0.6808510638297872,0.40425531914893614,72.90744680851063,88.64574468085107,58.907446808510635,84.00638297872341,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Simple API / software integration,AUTOMATION_SOFTWARE,330,143,9,38,60.0,36.36363636363637,0.82,0.76,0.97,0.62,0.6,0.9,185,20,56.06060606060606,0.6808510638297872,0.6170212765957447,0.8936170212765957,0.7872340425531915,0.40425531914893614,71.84542553191488,71.58617021276595,77.70851063829787,77.3063829787234,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Small IT equipment supply,PROCUREMENT_BROKERAGE,4607,1158,9,76,20.0,33.01497720859562,0.1,0.98,0.8,0.7,0.78,0.48,3214,140,69.76340351638811,0.9148936170212766,0.8936170212765957,0.9574468085106383,0.5319148936170213,0.14893617021276595,71.52361702127659,80.27446808510638,50.57659574468085,80.21063829787234,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Graphic design / layout,CONTENT_DESIGN,664,471,8,27,82.0,27.86144578313253,0.82,0.92,0.98,0.92,0.88,0.84,162,29,24.397590361445783,0.8085106382978723,0.8297872340425532,0.3404255319148936,0.14893617021276595,0.7659574468085106,69.1855319148936,86.10425531914895,77.32127659574468,83.30212765957448,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Low-code / no-code implementation,AUTOMATION_SOFTWARE,179,90,8,26,74.0,34.63687150837989,0.92,0.8,0.99,0.72,0.76,0.92,77,7,43.01675977653631,0.5319148936170213,0.5106382978723404,0.7446808510638298,0.6595744680851063,0.7021276595744681,68.91159574468084,78.49680851063829,76.34468085106384,78.35319148936169,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
E-learning / training content,TRAINING,613,300,9,34,60.0,31.321370309951057,0.86,0.86,0.98,0.76,0.78,0.86,183,22,29.853181076672104,0.7872340425531915,0.7446808510638298,0.5531914893617021,0.40425531914893614,0.40425531914893614,68.67127659574467,79.23191489361702,79.74680851063829,80.27872340425533,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Digital marketing / SEO / campaigns,CONTENT_DESIGN,513,219,9,29,20.0,31.57894736842105,0.72,0.8,0.96,0.74,0.7,0.8,254,22,49.512670565302145,0.7446808510638298,0.723404255319149,0.8723404255319149,0.425531914893617,0.14893617021276595,68.23085106382979,78.52340425531914,74.86808510638299,79.05744680851063,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Translation / localization,LANGUAGE,457,302,8,20,20.0,35.22975929978118,0.84,0.96,0.99,0.74,0.9,0.74,127,19,27.789934354485776,0.7021276595744681,0.7659574468085106,0.5106382978723404,0.7021276595744681,0.14893617021276595,67.77946808510637,82.7563829787234,75.83829787234042,80.7659574468085,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Brand identity / visual identity,CONTENT_DESIGN,501,309,8,33,20.0,35.528942115768466,0.75,0.88,0.98,0.82,0.8,0.86,137,28,27.345309381237524,0.723404255319149,0.7872340425531915,0.48936170212765956,0.723404255319149,0.14893617021276595,67.47521276595745,81.4936170212766,73.52021276595745,81.76595744680853,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
AI chatbot / assistant,AUTOMATION_SOFTWARE,139,59,9,27,60.0,45.32374100719424,0.99,0.78,0.99,0.62,0.68,0.94,63,11,45.32374100719424,0.48936170212765956,0.3829787234042553,0.7872340425531915,0.9787234042553191,0.40425531914893614,66.74170212765958,73.12234042553192,77.35425531914893,75.70212765957447,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
CMS development / migration,WEB_DIGITAL,259,119,9,21,60.0,35.907335907335906,0.65,0.82,0.95,0.72,0.68,0.78,96,9,37.06563706563706,0.6382978723404256,0.5319148936170213,0.6382978723404256,0.7659574468085106,0.40425531914893614,64.83489361702127,75.13297872340425,64.17765957446808,74.80212765957447,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Social media content production,CONTENT_DESIGN,319,194,9,34,70.0,30.094043887147336,0.86,0.86,0.97,0.82,0.75,0.82,83,13,26.018808777429467,0.6595744680851063,0.7021276595744681,0.40425531914893614,0.3191489361702128,0.6170212765957447,64.60117021276595,78.94255319148937,74.6659574468085,78.26382978723404,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Signage / wayfinding / vinyl,PRINT_BROKERAGE,3197,1844,9,33,15.0,29.30872693149828,0.28,0.98,0.55,0.82,0.72,0.8,1291,251,40.38160775727244,0.8936170212765957,0.9361702127659575,0.6808510638297872,0.2127659574468085,0.0,64.26010638297872,76.45851063829787,59.32340425531915,87.67021276595746,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Proofreading / editing,CONTENT_DESIGN,132,67,8,17,90.0,29.545454545454547,0.86,0.92,0.99,0.92,0.93,0.82,38,8,28.78787878787879,0.46808510638297873,0.40425531914893614,0.5319148936170213,0.23404255319148937,0.9574468085106383,62.51414893617021,89.41914893617022,67.64468085106384,80.46170212765958,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Data cleaning / deduplication,DATA_ADMIN,68,31,7,16,70.0,32.35294117647059,0.92,0.88,0.99,0.82,0.84,0.9,39,5,57.35294117647059,0.3191489361702128,0.23404255319148937,0.9361702127659575,0.48936170212765956,0.6170212765957447,62.39691489361703,87.11170212765957,69.65531914893617,81.70212765957447,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Web accessibility remediation,WEB_DIGITAL,112,55,6,16,60.0,42.857142857142854,0.65,0.72,0.95,0.62,0.7,0.82,54,4,48.214285714285715,0.425531914893617,0.3617021276595745,0.8297872340425532,0.8936170212765957,0.40425531914893614,61.60212765957447,72.54787234042553,59.684042553191496,70.51489361702127,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Labels / stickers / QR materials,PRINT_BROKERAGE,237,143,8,24,20.0,36.708860759493675,0.28,0.99,0.92,0.9,0.92,0.78,51,7,21.518987341772153,0.6170212765957447,0.6170212765957447,0.2765957446808511,0.8085106382978723,0.14893617021276595,57.793723404255324,85.9159574468085,44.76170212765958,81.53617021276595,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
