Niche,Macro_Category,Tender_Count,Unique_Buyers,Source_Count,Country_Count,Median_Lean_Fit,Recent_12m_Share_Pct,AI_Leverage,Subcontractability,Remote_Feasibility,Low_Entry_Burden,Low_Execution_Pain,Margin_Potential,Repeat_Tenders,Repeat_Buyers,Repeat_Tender_Share_Pct,Volume_Pct,Buyer_Breadth_Pct,Repeat_Pct,Recency_Pct,Lean_Pct,Discovery_Score,Easy_Money_Proxy,AI_Leverage_Score,Middleman_Proxy,Score_Contract,Derived_Status
Presentation / template design,CONTENT_DESIGN,65,31,6,18,20.0,29.230769230769234,0.88,0.94,0.99,0.94,0.92,0.88,32,5,49.23076923076923,0.2978723404255319,0.23404255319148937,0.851063829787234,0.19148936170212766,0.14893617021276595,53.862659574468076,93.36063829787233,66.37872340425531,84.55106382978724,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Data entry / back-office processing,DATA_ADMIN,90,46,9,18,60.0,28.888888888888886,0.94,0.95,0.99,0.94,0.94,0.88,37,3,41.111111111111114,0.3617021276595745,0.3404255319148936,0.7021276595744681,0.1702127659574468,0.40425531914893614,57.256170212765944,92.52127659574467,70.46170212765958,84.52553191489362,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Brochure / flyer / poster printing,PRINT_BROKERAGE,8454,3611,9,62,66.0,29.784717293588837,0.22,0.99,0.88,0.88,0.9,0.78,3839,539,45.410456588597114,0.9574468085106383,1.0,0.8085106382978723,0.2765957446808511,0.5957446808510638,76.9286170212766,89.43510638297873,59.9340425531915,90.38510638297872,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Proofreading / editing,CONTENT_DESIGN,132,67,8,17,90.0,29.545454545454547,0.86,0.92,0.99,0.92,0.93,0.82,38,8,28.78787878787879,0.46808510638297873,0.40425531914893614,0.5319148936170213,0.23404255319148937,0.9574468085106383,62.51414893617021,89.41914893617022,67.64468085106384,80.46170212765958,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Web hosting / domain / SSL,WEB_DIGITAL,1030,528,9,42,60.0,34.75728155339806,0.35,0.95,0.98,0.86,0.92,0.72,385,54,37.37864077669903,0.8297872340425532,0.851063829787234,0.6595744680851063,0.6808510638297872,0.40425531914893614,72.90744680851063,88.64574468085107,58.907446808510635,84.00638297872341,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Transcription / minutes,VIDEO_AUDIO,16816,1358,9,60,90.0,32.07659372026641,0.96,0.96,0.99,0.95,0.96,0.9,2833,212,16.847050428163655,1.0,0.9148936170212766,0.2127659574468085,0.44680851063829785,0.9574468085106383,78.79510638297873,88.62765957446808,88.05106382978724,86.42659574468084,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Copywriting / editorial content,CONTENT_DESIGN,1140,704,8,26,70.0,30.614035087719298,0.88,0.9,0.99,0.9,0.89,0.86,394,70,34.56140350877193,0.851063829787234,0.8723404255319149,0.6170212765957447,0.3829787234042553,0.6170212765957447,76.25393617021277,88.27021276595744,84.47659574468085,85.8936170212766,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Data cleaning / deduplication,DATA_ADMIN,68,31,7,16,70.0,32.35294117647059,0.92,0.88,0.99,0.82,0.84,0.9,39,5,57.35294117647059,0.3191489361702128,0.23404255319148937,0.9361702127659575,0.48936170212765956,0.6170212765957447,62.39691489361703,87.11170212765957,69.65531914893617,81.70212765957447,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Video editing / post-production,VIDEO_AUDIO,37,29,5,10,82.0,32.432432432432435,0.88,0.94,0.99,0.9,0.88,0.88,10,3,27.027027027027028,0.1702127659574468,0.19148936170212766,0.44680851063829785,0.5106382978723404,0.7659574468085106,53.47755319148935,86.91808510638297,59.144680851063825,79.48297872340426,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
Illustration / infographics,CONTENT_DESIGN,111,74,9,19,82.0,26.126126126126124,0.9,0.9,0.99,0.9,0.9,0.86,29,7,26.126126126126128,0.40425531914893614,0.46808510638297873,0.425531914893617,0.0851063829787234,0.7659574468085106,57.370106382978726,86.60531914893616,68.46170212765958,79.93617021276596,TENDER_ONLY_DISCOVERY_70_EMPIRICAL_30_HEURISTIC,DERIVED
